Festival,Year,Award,Track,Title,Agency,Brand,Team,Board image
Luum Awards,2024,Silver,Causes - Causes - Campaigns,UNCOMFORTABLE,Paradais DDB,UNIVERSIDAD CASA GRANDE,Creative President: AgustÃ­n Febres-Cordero CSO (Chief Strategy Officer): Ricardo Medina Chief Growth Officer: MarÃ­a JosÃ© Pastor Executive Creative Director: Lupas Celis Creative Direction: Sergio Moraga Art Direction: Gabriel Saavedra Daniella SÃ¡nchez Creative Copywriters: Gabriela Cuenca Miguel Barreto Designer: Gabriela Bastidas Account Director: Ilse GarcÃ­a Account Executives: Paul Alvear Emely Valencia Strategic Planner: Solange Romo Community Manager: Ana Paula ChusÃ¡n Post Producer: SebastiÃ¡n Villena Carlos Wong Field Production: Cesar Knezevich Betty MorÃ¡n Creative Team: Juan Pardo Gabriela ChavarrÃ­a Paula MarÃ­n Arianna Correia Carlos Wong AndrÃ©s Vallejo Harving Serrano Olivia Kusijanovic Kharyme Simon Collaborative Agency PR: Gran Idea Audiovisual Production Company: La Canguilera CLIENTS: Adriana Illingworth Melissa Santoro Jimena Babra Ernesto Noboa,
Luum Awards,2024,Silver,Causes - Partnerships to Achieve Goals - PR-CRM,UNCOMFORTABLE,Paradais DDB,UNIVERSIDAD CASA GRANDE,Creative President: AgustÃ­n Febres-Cordero CSO (Chief Strategy Officer): Ricardo Medina Chief Growth Officer: MarÃ­a JosÃ© Pastor Executive Creative Director: Lupas Celis Creative Direction: Sergio Moraga Art Direction: Gabriel Saavedra Daniella SÃ¡nchez Creative Copywriters: Gabriela Cuenca Miguel Barreto Designer: Gabriela Bastidas Account Director: Ilse GarcÃ­a Account Executives: Paul Alvear Emely Valencia Strategic Planner: Solange Romo Community Manager: Ana Paula ChusÃ¡n Post Producer: SebastiÃ¡n Villena Carlos Wong Field Production: Cesar Knezevich Betty MorÃ¡n Creative Team: Juan Pardo Gabriela ChavarrÃ­a Paula MarÃ­n Arianna Correia Carlos Wong AndrÃ©s Vallejo Harving Serrano Olivia Kusijanovic Kharyme Simon Collaborative Agency PR: Gran Idea Audiovisual Production Company: La Canguilera CLIENTS: Adriana Illingworth Melissa Santoro Jimena Babra Ernesto Noboa,
Luum Awards,2024,Silver,Health & Wellness - Health & Wellness - Campaigns,Sleep Stunner,Redbin Philippines,SleepMD,Chief Creative Director: Ben Berdin Creative Director: Rose Pantoja-Beldia Associate Creative Director: RJ Espartinez Copywriter: RJ Espartinez Jr Art Director: Coleen Madera Richard Nicolas Sr Art Director: Kim Salonga Account Manager: Patricia Candaza General Manager: Jam Loresto Project Manager: Jie Lim Digital Marketing Manager: Tony Tuason Community Manager: Allyssa Marie SemaÃ±a Digital Campaign Manager: Nori Isturis,
Luum Awards,2024,Silver,Health & Wellness - Health & Wellness Education & Awareness - Internet-Social Media,Sleep Stunner,Redbin Philippines,SleepMD,Chief Creative Director: Ben Berdin Creative Director: Rose Pantoja-Beldia Associate Creative Director: RJ Espartinez Copywriter: RJ Espartinez Jr Art Director: Coleen Madera Richard Nicolas Sr Art Director: Kim Salonga Account Manager: Patricia Candaza General Manager: Jam Loresto Project Manager: Jie Lim Digital Marketing Manager: Tony Tuason Community Manager: Allyssa Marie SemaÃ±a Digital Campaign Manager: Nori Isturis,
Luum Awards,2024,Silver,Causes - Partnerships to Achieve Goals - Film,30 Seconds To Fight Vaping30 Seconds To Fight Vaping,Republika Independiente,RENATA (National Anti-Tobacco Network),,
Luum Awards,2024,Silver,Human Rights - Family,Invisible,Shernan Creative Collective,Provincial Council of Guipuzcoa,,
Luum Awards,2024,Silver,Causes - Fundraising & Advocacy - Internet-Social Media,Speechlist,TANK Worldwide,Speechlist,Marty Martinez Bernardo RodrÃ­guez Pons & Camilo MonzÃ³n Navas Jillian Mastroianni,
Luum Awards,2024,Silver,Essence of the Message - Sporting values - Film,Hear whatâ€™s not being said,The Amazing Society,The Swedish Equestrian Federation,Sara WikstrÃ¶m Matilda Hansson Carin Taxing Lisa Millberg Nathanelle Andersson Erika Savander Alexandra Borg,
Luum Awards,2024,Silver,Planet - Climate Action,ARTBIENTALISM,The 3Hundred Agency,,,
Luum Awards,2024,Silver,Planet - Promoting Clean Water and Sanitation,Everglades Stories from Across the Watershed,The Everglades Foundation,The Everglades Foundation,Direction and Production: Director of Communications for The Everglades Foundation - BegoÃ±e Cazalis Video Production Specialist for The Everglades Foundation - Javier Lozada & Producer/Engineer Heavy Air Media - Javier Carrion Assistant Production: Digital Marketing Coordinator for The Everglades Foundation - Kim Gooch Webmaster: Production and Content Creation Heavy Air Media - Stephanie Tiangco,
Luum Awards,2024,Silver,Causes - Causes - Campaigns,CIEN,Tribeca Media,plazaVea,General Creative Director: Lea Raggio Art Director: Marlon Valencia /Copy: Ernesto RioFrÃ­o Carolina Salazar Casetera,
Luum Awards,2024,Silver,Essence of the Message - Solidarity - Internet-Social Media,CIEN,Tribeca Media,plazaVea,General Creative Director: Lea Raggio Art Director: Marlon Valencia / Copy: Ernesto RioFrÃ­o Carolina Salazar Casetera,
Luum Awards,2024,Silver,Health & Wellness - Health & Wellness Education & Awareness - Print,Not a lonely journey â€“ Travel Guide Collection for SMA Patients,VML HEALTH,SMA Awareness,Fabio De Vecchi Sonia Cosentino & Agnes Mastikian Joanna Rechul Gabriele Silvagni Managing Director,
Luum Awards,2024,Silver,Health & Wellness - Alcoholism Tobbaco addictions and substances use disorders,Donâ€™t Burn Their Future,X3M ideas,FCCPC,CCO Steve Babaeko / ECD Mike Miller / DCD Kelechi Uduma / DCD Sam Oluwagbemi Temitope Ayeni / Vivian Nwadike,
Luum Awards,2024,Silver,Institutional Communication,HEROES OF LIFE,Nexa Brand,HOSPITAL SÃƒO JOSÃ‰,,
Luum Awards,2024,Silver,Designs for a better world - Design Solutions for a Better World,The Game of change â€“ End Child Marriage,MAAD McCANN,UNICEF,,
Luum Awards,2024,Shortlist,Designs for a better world - Design Solutions for a Better World Outdoor,Fishing For Data,Havas - Publicis Worldwide,Bank BNP Paribas,RafaÅ‚ RyÅ› Creative Director Havas Poland Dagmara Witek-KuÅ›mider Chief Creative Officer at Publicis Worldwide Poland Dominika HaÅ‚as Senior Art Director Natalia Milewska Senior Copywriter Havas Poland Tomasz ZiemiaÅ„ski Associate Creative Director Bartosz Jeglejewski Groupe Head Publicis Worldwide Poland Monika BrzeziÅ„ska Groupe Account Director Havas Poland Anna KubeÅ‚ Integrated Communication Supervisor Publicis Worldwide Poland,
Luum Awards,2024,Shortlist,Society - Childhood - Child Rights Education and Awareness,The Graduate,180 Heartbeats,Zwolnieni z Teorii,Adam SmereczyÅ„ski Aleksander Frydrych Emila BÅ‚aszczak & Martyna Walkowiak,
Luum Awards,2024,Shortlist,Health & Wellness - Health & Wellness Education & Awareness - Film,To Live With No Fear,Havas Creative,FundaciÃ³n MD Anderson Cancer Center EspaÃ±a,Nacho Soria Ana Pozuelo / Sandra Preciados,
Luum Awards,2024,Shortlist,Essence of the Message - Respect for Animal Rights,Tracks of Extinction,proof,Mineral Water Velingrad,Angel Iskrev Zhivko Bozdanski (Copywriter) Emanuela Belovarski (Head of Art) Ilian Iliev (Art Director) Sanya Stefanova David Kirilov (Designer) Propaganda (PR partner) Savina Dimova-Palikareva (Marketing Manager/Cleint-Side),
Luum Awards,2024,Shortlist,Essence of the Message - Diversity and inclusion - Film,FanÃ¡ticos de lo Real,Omnicom Public Relations Group,Burger King,Andrea Mejorada Head of Corporate Communications Restaurant Brands Iberia Paula BarrabÃ©s Corporate Communications Restaurant Brands Iberia,
