Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,FRIDGE HACKING,RECUPEL,DDB,Customer Retail & In-Store Experience,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/85fe17b3de4240c7a34fe45e6dba57fb
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,MAGENTA EXPERIENCE CENTER,DEUTSCHE TELEKOM,ART1ST DESIGN STUDIO,Customer Retail & In-Store Experience,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/af6d602fc3754e379101ed1ccaa26113
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,SPORTS DIRECT,SPORTS DIRECT,FRASERS GROUP,Customer Retail & In-Store Experience,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/f50c5c21683c435a8f2f37e74bc567ed
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,MAGENTA EXPERIENCE CENTER,DEUTSCHE TELEKOM,ART1ST DESIGN STUDIO,360 integrated brand experience,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/2e329bdb28664fa18a9c7adaeebb5771
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,TRIVIAL PURSUIT HOTEL,HASBRO,HASBRO RUSSIA,360 integrated brand experience,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/ff128aca0c17461a8ad7c1649625fda8
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,ZALANDO - HET NIEUWE STERKSEL,ZALANDO,BOOMERANG AGENCY,360 integrated brand experience,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/882854a6d3b146109fc801ba3bf36ec5
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,MAGENTA EXPERIENCE CENTER,DEUTSCHE TELEKOM,ART1ST DESIGN STUDIO,Customer Acquisition & Retention,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/2e329bdb28664fa18a9c7adaeebb5771
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,BEYOND GENERATIONS,MICROSOFT,McCANN,Customer Acquisition & Retention,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/4162b20864d94d6287fd92f48caa085b
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,THEATER TO GO,JURANYI THEATER,DDB,Customer Acquisition & Retention,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/42377d1cca934722817fffeed82d5efa
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,GREEN LOOK,ROMANI DESIGN,WAVEMAKER HUNGARY,Tech-led Brand Experience,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/679360f8c0074a9bb3a2b79e799487ca
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,A CLASSIC HORROR STORY,NETFLIX ITALY,PUBLICIS ITALY,Tech-led Brand Experience,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/0bdd4d5cf67244578f0fcf0419788902
