Festival,Year,Track,Title,Brand,Agency,Category,Award,Product,Permalink
The Loerie Awards,2025,Design,Bring back lost lover,Showmax,distrikt 9,GENERAL DESIGN,Finalist,Ubuthe Uzobuya,/awards/the_loerie_awards/2025/campaigns/bring-back-lost-lover-showmax-distrikt-9-2025/
The Loerie Awards,2025,Design,Behind the Label,The Salvation Army,Clockwork,GENERAL DESIGN,Finalist,The Salvation Army,/awards/the_loerie_awards/2025/campaigns/behind-the-label-the-salvation-army-clockwork-2025/
The Loerie Awards,2025,Design,--Hui Gaeb,SAB AB INBEV,Promise,GENERAL DESIGN,Finalist,Corporate,/awards/the_loerie_awards/2025/campaigns/hui-gaeb-sab-ab-inbev-promise-2025/
The Loerie Awards,2025,Design,The UpUp Group Signage,The UpUp Group,MC Saatchi Abel a division of The Up Up Group Pty Ltd,GENERAL DESIGN,Finalist,Brand Identity Signage,/awards/the_loerie_awards/2025/campaigns/the-upup-group-signage-the-upup-group-mc-saatchi-abel-a-division-of-the-up-up-group-pty-ltd-2025/
The Loerie Awards,2025,Design,The Worlds first Limescale Testing Business Card,Scalex,Shift Engage,GENERAL DESIGN,Finalist,Scalex Limescale Remover,/awards/the_loerie_awards/2025/campaigns/the-worlds-first-limescale-testing-business-card-scalex-shift-engage-2025/
The Loerie Awards,2025,Design,1862 Collection,Standard Bank,Design Bridge and Partners,GENERAL DESIGN,Finalist,1862 Collection,/awards/the_loerie_awards/2025/campaigns/1862-collection-standard-bank-design-bridge-and-partners-2025/
The Loerie Awards,2025,Design,GHOST TOWN,CARREFOURSA,TBWA-Istanbul,ENVIRONMENTAL SIGNAGE,Gold,RETAIL,/awards/the_loerie_awards/2025/campaigns/ghost-town-carrefoursa-tbwa-istanbul-2025/
The Loerie Awards,2025,Joe Public Wasted Food,TryJanuary,Heineken Beverages South Africa,TBWA- Hunt Lascaris,Plastered Peanuts SAB AB InBev Flying Fish Silver 2025,Bronze,Savanna Cider,/awards/the_loerie_awards/2025/campaigns/tryjanuary-heineken-beverages-south-africa-tbwa-hunt-lascaris-2025/
The Loerie Awards,2025,Joe Public Wasted Food,The Taste Thats Stood The Test Of Time,SAB ABInBev,SHIFT,Plastered Peanuts SAB AB InBev Flying Fish Silver 2025,Finalist,Castle Lager,/awards/the_loerie_awards/2025/campaigns/the-taste-thats-stood-the-test-of-time-sab-abinbev-shift-2025/
The Loerie Awards,2025,Joe Public Wasted Food,Savanna Neat,Heineken Beverages South Africa,TBWA- Hunt Lascaris,Plastered Peanuts SAB AB InBev Flying Fish Silver 2025,Finalist,Savanna Cider,/awards/the_loerie_awards/2025/campaigns/savanna-neat-heineken-beverages-south-africa-tbwa-hunt-lascaris-2025/
The Loerie Awards,2025,Joe Public Wasted Food,Extra CCCCold Cooler Box,SAB ABInBev,Ogilvy,Plastered Peanuts SAB AB InBev Flying Fish Silver 2025,Finalist,Castle Lite,/awards/the_loerie_awards/2025/campaigns/extra-ccccold-cooler-box-sab-abinbev-ogilvy-2025/
The Loerie Awards,2025,Joe Public Wasted Food,Unboxing Skin,Nivea,Saatchi Saatchi Middle East,Plastered Peanuts SAB AB InBev Flying Fish Silver 2025,Finalist,Nivea Sun,/awards/the_loerie_awards/2025/campaigns/unboxing-skin-nivea-saatchi-saatchi-middle-east-2025/
The Loerie Awards,2025,Joe Public Wasted Food,Landfilla,MINI South Africa,VML SA,Plastered Peanuts SAB AB InBev Flying Fish Silver 2025,Finalist,MINI Electric,/awards/the_loerie_awards/2025/campaigns/landfilla-mini-south-africa-vml-sa-2025/
The Loerie Awards,2025,Joe Public Wasted Food,The Coolest Ihram,Saudia Airlines,Landor,Plastered Peanuts SAB AB InBev Flying Fish Silver 2025,Finalist,Male and Female Ihrams Islamic Pilgrimage Uniform,/awards/the_loerie_awards/2025/campaigns/the-coolest-ihram-saudia-airlines-landor-2025-2/
The Loerie Awards,2025,Design,NEURAL MURALS,DEPARTMENT OF CULTURE AND TOURISM ABU DHABI,SERVICEPLAN MIDDLE EAST FZ-LLC,DATA INFORMATION VISUALISATION,Silver,SAADIYAT CULTURE DISTRICT,/awards/the_loerie_awards/2025/campaigns/neural-murals-department-of-culture-and-tourism-abu-dhabi-serviceplan-middle-east-fz-llc-2025/
The Loerie Awards,2025,Design,Max Speed,Heineken,LePub Johannesburg,DATA INFORMATION VISUALISATION,Silver,Heineken beer,/awards/the_loerie_awards/2025/campaigns/max-speed-heineken-lepub-johannesburg-2025/
