Festival,Year,Track,Title,Brand,Agency,Category,Award,Product
The Loerie Awards,2025,Digital,Real Beauty Generation 20,Unilever South Africa,VML SA,WEB BROWSER-BASED EXPERIENCE,Finalist,Dove
The Loerie Awards,2025,Digital,LEAK FOR REAL,PUMA,Lion Communication FZ - LLC,SOCIAL MEDIA CAMPAIGN,Silver,AL HILAL FC OFFICIAL KIT 2024-25
The Loerie Awards,2025,Digital,DryJan,Heineken Beverages South Africa,TBWA Hunt Lascaris Johannesburg Pty Ltd,SOCIAL MEDIA CAMPAIGN,Bronze,Windhoek Beer
The Loerie Awards,2025,Digital,BetQueen,BetKing,X3M Ideas,SOCIAL MEDIA CAMPAIGN,Finalist,BetKing
The Loerie Awards,2025,Digital,Ads Behind The Ad,TikTok x Unilever,Dentsu Creative South Africa,SOCIAL MEDIA CAMPAIGN,Finalist,TikTok x Unilever
The Loerie Awards,2025,Digital,60yrs of Much Much More,Mondelez,VML SA,SOCIAL MEDIA CAMPAIGN,Finalist,Lunch Bar
The Loerie Awards,2025,Digital,Dads For Pads,Qrate,Lobengula Advertising,SOCIAL MEDIA CAMPAIGN,Finalist,Dads For Pads
The Loerie Awards,2025,Digital,Carpe DM,MTN South Africa,MC Saatchi Abel a division of The Up Up Group Pty Ltd,SOCIAL MEDIA CAMPAIGN,Finalist,MTN
The Loerie Awards,2025,Digital,For every Golden Moment,SAB ABInBev,DraftLine Jhb,SOCIAL MEDIA CAMPAIGN,Finalist,Corona Cero
The Loerie Awards,2025,Digital,Breast Cancer Awareness Campaign,C-CARE Mauritius,CIRCUS,SOCIAL MEDIA CAMPAIGN,Finalist,Health Care Services
The Loerie Awards,2025,Digital,SKY Tok,SKY Girls Kenya,Tandem Digital Company,SOCIAL MEDIA CAMPAIGN,Finalist,SKY Girls Kenya
The Loerie Awards,2025,Digital,Gimme Summer,South African Tourism,Digitas Liquorice,SOCIAL MEDIA CAMPAIGN,Finalist,Shot Left
The Loerie Awards,2025,Digital,Cocktails to Culture,Absolut,Ogilvy,SOCIAL MEDIA CAMPAIGN,Finalist,Absolut
The Loerie Awards,2025,Digital,LiveWell - If you Campaign,LiveWell by Zurich,So Interactive,SOCIAL MEDIA CAMPAIGN,Finalist,LiveWell App
The Loerie Awards,2025,Digital,YourMaSeKFC,KFC South Africa,Ogilvy,SOCIAL MEDIA CAMPAIGN,Finalist,KFC Brand
The Loerie Awards,2025,Digital,The Ultimate Live Taste Test on Social MakeItKFC,KFC South Africa,Ogilvy,SOCIAL MEDIA CAMPAIGN,Finalist,KFC
The Loerie Awards,2025,Digital,Cadbury Presents Real Mzansi Names,Mondelez,Ogilvy,SOCIAL MEDIA CAMPAIGN,Finalist,Cadbury Dairy Milk Chocolate
The Loerie Awards,2025,Digital,The Out Of Office Out Of Home,Pineapple,Halo,SOCIAL MEDIA CAMPAIGN,Finalist,Insurance
The Loerie Awards,2025,Digital,Its the Little Things,Chicken Licken,Joe Public,SOCIAL MEDIA CAMPAIGN,Finalist,Super Slider Mix 4
The Loerie Awards,2025,Digital,Why Choose,Chicken Licken,Joe Public,SOCIAL MEDIA CAMPAIGN,Finalist,Soul Square MealOao
The Loerie Awards,2025,Digital,The Snap Hack,Netflix,Science Sunshine,SOCIAL MEDIA CAMPAIGN,Finalist,Squid Game
The Loerie Awards,2025,Digital,See Naija,MTN,Playhouse Communication Ltd,SOCIAL MEDIA CAMPAIGN,Finalist,MTN Nigeria
The Loerie Awards,2025,Digital,Auto Reply-Break,KitKat,Publicis Middle East,DIGITAL APPLICATIONS GAMES INTERACTIVE TOOLS,Gold,KitKat
The Loerie Awards,2025,Digital,Social Screen,Heineken,LePub Johannesburg,DIGITAL APPLICATIONS GAMES INTERACTIVE TOOLS,Silver,Heineken beer
The Loerie Awards,2025,Digital,Walla Visa,Visa,Saatchi Saatchi Middle East,DIGITAL APPLICATIONS GAMES INTERACTIVE TOOLS,Bronze,Card Transactions
The Loerie Awards,2025,Digital,Stitched With Cheer,Tusker Lager,Dentsu Creative Kenya,DIGITAL APPLICATIONS GAMES INTERACTIVE TOOLS,Finalist,Team Kenya Olympics
The Loerie Awards,2025,Digital,Cheetos Pants,Cheetos,Impact BBDO,DIGITAL APPLICATIONS GAMES INTERACTIVE TOOLS,Finalist,Cheetos
The Loerie Awards,2025,Digital,JoeGrow Tool,Joe Public,Joe Public JoeLabs,DIGITAL APPLICATIONS GAMES INTERACTIVE TOOLS,Finalist,JoeGrow Tool
The Loerie Awards,2025,Digital,TryJanuary,Heineken Beverages South Africa,TBWA- Hunt Lascaris,MOBILE MEDIA,Bronze,Savanna Cider
The Loerie Awards,2025,Digital,Save our stay SOS,City Lodge Hotel Group,TBWA Hunt Lascaris Johannesburg Pty Ltd,MOBILE MEDIA,Bronze,City Lodge Hotels
