Festival,Year,Track,Title,Brand,Agency,Network,Holding,Category,Award level,Country,Company,Product,Production
Fiap,2025,Anuncios,This is not a game,Movistar,VML,VML,WPP,Mejor Uso de la Cultura Local,Shortlist,Mexico,Telefonica,Negocio responsable,Landia
Fiap,2025,Formatos,Thanks for Coke-Creation,Coca-Cola,VML,VML,WPP,Via Publica,Shortlist,Mexico,Coca-Cola,Coca-Cola,Mango & Chilly Content
Fiap,2025,Formatos,Thanks for Coke-Creation,Coca-Cola,VML,VML,WPP,Business to Business Channel o Partner Marketing - B2B,Shortlist,Mexico,Coca-Cola,Coca-Cola,Mango & Chilly Content
Fiap,2025,Anuncios,Thanks for Coke-Creation,Coca-Cola,VML,VML,WPP,Grafica - Alimentos/Comidas/Bebidas Alcoholicas/No Alcoholicas,Shortlist,Mexico,Coca-Cola,Coca-Cola,Mango & Chilly Content
Fiap,2025,Anuncios,Thanks for Coke-Creation,Coca-Cola,VML,VML,WPP,Mejor Uso de la Cultura Local,Shortlist,Mexico,Coca-Cola,Coca-Cola,Mango & Chilly Content
Fiap,2025,Anuncios,Thanks for Coke-Creation,Coca-Cola,VML,VML,WPP,Grafica - Imagen Corporativa/Branding,Shortlist,Mexico,Coca-Cola,Coca-Cola,Mango & Chilly Content
Fiap,2025,Produccion,Thanks for Coke-Creation,Coca-Cola,VML,VML,WPP,Tecnicas de Produccion Grafica - Direccion de Arte,Shortlist,Mexico,Coca-Cola,Coca-Cola,Mango & Chilly Content
Fiap,2025,Innovacion,Te lo cuento desde,Banco Guayaquil,Circo,Independiente,Independiente,Innovacion en Redes Sociales,Shortlist,Ecuador,Banco Guayaquil,Banco Guayaquil,La Gallera
Fiap,2025,Produccion,Te lo cuento desde,Banco Guayaquil,Circo,Independiente,Independiente,Tecnicas de Produccion de Contenidos,Shortlist,Ecuador,Banco Guayaquil,Banco Guayaquil,La Gallera
Fiap,2025,Formatos,SubwayTrench,LOreal,Dentsu Creative,Dentsu Group Inc,Dentsu Group,Mejor Campana de Plataforma de Responsabilidad Social,Shortlist,Espana,LOreal Paris (Espana),StandUp,StoryLab
Fiap,2025,Innovacion,subwaytrench,LOreal,Dentsu Creative,Dentsu Group Inc,Dentsu Group,Innovacion en Outdoor/Via publica/Ambient,Shortlist,Espana,LOreal Paris (Espana),StandUp,StoryLab
Fiap,2025,Anuncios,SubwayTrench,LOreal,Dentsu Creative,Dentsu Group Inc,Dentsu Group,Transformacion Social - Empresas Privadas,Shortlist,Espana,LOreal Paris (Espana),StandUp,StoryLab
Fiap,2025,Anuncios,SubwayTrench,LOreal,Dentsu Creative,Dentsu Group Inc,Dentsu Group,Via Publica - Servicios,Shortlist,Espana,LOreal Paris (Espana),StandUp,StoryLab
Fiap,2025,Innovacion,Tu esfuerzo desfila en los juegos olimpicos,Banco Santander,Minerva Marketing,Independiente,Independiente,Innovacion en Eventos/Experiencia,Shortlist,Espana,Banco Santander,Banco Santander,N/A
Fiap,2025,Innovacion,Cementerio de flora y fauna,COP16,Inmov - Latir,Independiente,Independiente,Innovacion en Eventos/Experiencia,Shortlist,Colombia,ONU - COP16 primera Conferencia de las Partes realizada en Cali Colombia,Evento COP16,Wonderlust by Inmov
Fiap,2025,Innovacion,Cementerio de flora y fauna,COP16,Inmov - Latir,Independiente,Independiente,Mejor Experiencia Interactiva y Creativa en Evento,Shortlist,Colombia,ONU - COP16 primera Conferencia de las Partes realizada en Cali Colombia,Evento COP16,Wonderlust by Inmov
Fiap,2025,Formatos,Soluciones de mi Gente 3a ed,Sempra Infraestructura,Pulso Agency,Independiente,Independiente,Mejor Campana de Plataforma de Responsabilidad Social,Shortlist,Mexico,Sempra Infraestructura,Soluciones de mi Gente,PULSO Agency
Fiap,2025,Anuncios,Jockey Plaza,Jockey Plaza,Burns The Agency,Independiente,Independiente,Television/Cine/Digital - Campanas Bien Publico,Shortlist,Peru,Jockey Plaza,Plataforma Antibullying,The Kubricks
Fiap,2025,Anuncios,Radio Prosegur,Prosegur Alarmas,Burns The Agency,Independiente,Independiente,Radio - Campanas Bien Publico,Shortlist,Peru,Prosegur Alarmas,Camaras de Seguridad Prosegur Alarmas,Zava Records Rodolfo Zavalaga
Fiap,2025,Anuncios,El Chisme del Bueno,Sempra Infraestructura,Pulso Agency,Independiente,Independiente,Television/Cine/Digital - Bajo Presupuesto,Shortlist,Mexico,Sempra Infraestructura,Soluciones de mi Gente,PULSO Agency
Fiap,2025,Produccion,BBVA - Anaquel de cuentas,BBVA,Ka&O Films and Content,Independiente,Independiente,Tecnicas de Produccion Audiovisual - Direccion General,Shortlist,Peru,BBVA,BBVA - Anaquel de Cuentas,Ka&O Films and Content
Fiap,2025,Innovacion,Navega la Vila,La Vila Joiosa,Makinaccion,Makinaccion,Makinaccion,Innovacion en Outdoor/Via publica/Ambient,Shortlist,Espana,Concejalia de turismo del ayuntamiento de La Vila Joiosa,La oferta turistica de La Vila Joiosa,Makinaccion
Fiap,2025,Anuncios,Jockey Plaza,Jockey Plaza,Burns The Agency,Independiente,Independiente,Creatividad Efectiva - Bien Publico,Shortlist,Peru,Jockey Plaza,Plataforma Antibullying,The Kubricks
Fiap,2025,Anuncios,ON510,ON510 Energia positva,Parker,Independiente,Independiente,Mejor Diseno,Shortlist,Espana,Grupo Enhol,Comercializadora electrica,Parker
Fiap,2025,Anuncios,ON510,ON510 Energia positva,Parker,Independiente,Independiente,Mejor Concepto,Shortlist,Espana,Grupo Enhol,Comercializadora electrica,Parker
Fiap,2025,Anuncios,Great ideas,Getty Images,DDB Latina,DDB Worldwide,Omnicom,Grafica - Campanas (Productos/Servicios/Corporativas),Shortlist,Uruguay,Getty Images,Banco de imagenes,DDB Uruguay
Fiap,2025,Anuncios,Muy poco viene para lo cerca que lo tienes,Tu Provincia Huesca La Magia,La Colmena Creativa,Hub Of Brands,N/A,Television/Cine/Digital - Recreacion/Placer/Tiempo Libre/Transporte/Viajes/Turismo,Shortlist,Espana,Diputacion Provincial de Huesca,Campana de Turismo,La Colmena Creativa
Fiap,2025,Anuncios,Marea Purpura,Marea Purpura,Grizzly Brands,Independiente,Independiente,Grafica - Imagen Corporativa/Branding,Shortlist,Colombia,Civix Colombia,Diseno imagen corporativa y Branding,N/A
Fiap,2025,Anuncios,Liderab,Marea Purpura,Grizzly Brands,Independiente,Independiente,Grafica - Imagen Corporativa/Branding,Shortlist,Colombia,Civix Colombia,Diseno imagen corporativa y Branding,N/A
Fiap,2025,Anuncios,Frascos infinitos - Mayonesa Kraft,Mayonesa Kraft,Amarillo Creative Lab,Independiente,Independiente,Radio - Alimentos/Comidas/Bebidas Alcoholicas/No Alcoholicas,Shortlist,Venezuela,Mondelez internacional,Mayonesa Kraft,Piedra Studios
Fiap,2025,Formatos,Frascos infinitos - Mayonesa Kraft,Kraft,Amarillo Creative Lab,Independiente,Independiente,Mejor Campana de Sostenibilidad,Shortlist,Venezuela,Mondelez Internacional,Mayonesa Kraft,Fenix Media
Fiap,2025,Innovacion,Frascos infinitos - Mayonesa Kraft,Kraft,Amarillo Creative Lab,Independiente,Independiente,Innovacion en campanas sobre sostenibilidad,Shortlist,Venezuela,Mondelez Internacional,Mayonesa Kraft,N/A
Fiap,2025,Anuncios,Frascos infinitos - Mayonesa Kraft,Mayonesa Kraft,Amarillo Creative Lab,Independiente,Independiente,Mejor Uso de la Cultura Local,Shortlist,Venezuela,Mondelez Internacional,Mayonesa Kraft,Fenix Media
Fiap,2025,Formatos,Libres de Trata,Libres de Trata,Amarillo Creative Lab,Independiente,Independiente,Mejor Campana de Plataforma de Responsabilidad Social,Shortlist,Venezuela,Libres de Trata,Libres de Trata,N/A
Fiap,2025,Formatos,Libres de Trata,Libres de Trata,Amarillo Creative Lab,Independiente,Independiente,Mejor Uso de Influencer en cualquier plataforma,Shortlist,Venezuela,Libres de Trata,Libres de Trata,N/A
Fiap,2025,Anuncios,Libres de Trata,Libres de Trata,Amarillo Creative Lab,Independiente,Independiente,Transformacion Social - ONG,Shortlist,Venezuela,Libres de Trata,Libres de Trata,N/A
Fiap,2025,Formatos,Frascos infinitos - Mayonesa Kraft,Kraft,Amarillo Creative Lab,Independiente,Independiente,Mejor Uso de Influencer en cualquier plataforma,Shortlist,Venezuela,Mondelez Internacional,Mayonesa Kraft,N/A
Fiap,2025,Anuncios,Frascos infinitos - Mayonesa Kraft,Kraft,Amarillo Creative Lab,Independiente,Independiente,Campanas Integrales,Shortlist,Venezuela,Mondelez Internacional,Mayonesa Kraft,N/A
Fiap,2025,Anuncios,Frascos infinitos - Mayonesa Kraft,Kraft,Amarillo Creative Lab,Independiente,Independiente,Radio - Jingles/Musica Original/Audio logo/Mejor Sound Effect,Shortlist,Venezuela,Mondelez Internacional,MAyonesa Kraft,Piedra Studios
