Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,PRIDEHAIR,PROCTER & GAMBLE,GREY,Social Behaviour,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/483642d1aaff47d0b565759b4d849281
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,KFC GO-FIGURE!,YUM!,ISOBAR CHINA,Social Behaviour,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/931ed39e402a4f4d80399ed766bb2603
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,THE BETTER HALF RECIPES,SWIGGY,DENTSU CREATIVE,Social Behaviour,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/434613ae855b4659901ff82c2af9e0a9
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,MAKING ACCOUNTING MORE FREE,ROBOT PAYMENT INC,OFFSIDE INC,Social Behaviour,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/f8a3e0dabefc445c85f340ea2a0ab5df
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,PEPSI CAN LIGHT STICK,PEPSICO,BBDO GUERRERO,Social Behaviour,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/c31656a86c7c4118af8669a16581011b
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,THE LOST DAUGHTERS,SANLAAP,WUNDERMAN THOMPSON,Social Behaviour,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/ec9a5a0370104804a348c4019d30ead0
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,SMALL BUSINESS SUCCESS STORY,FACEBOOK,WUNDERMAN THOMPSON,Social Behaviour,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/ce26de1de9254e0481f5c79e5293ce9e
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,INDO SWEEPER SHIP,NETFLIX,GOODSTUPH THAILAND,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/6a8278de90304fdc92dc5a155a61d18f
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,V-KEBAYA,VINDA MARKETING (M) SDN BHD,MUMA MALAYSIA,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/2e0b898830684652824605245b1b2395
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,LIFE SHARING POWERBANK,ENERGY MONSTER,TBWA\BOLT SHANGHAI,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/82b7607cb1ef45ecb46c0377235e2f10
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,FANTASTIC EURO 2020,PCCW MEDIA,HAVAS,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/d7a8972030e64f90878d6ec2a4081658
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,BMW NISHIJIN,BMW,UM,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/a10c3df553bc4f1aacd8f43f2b90da8a
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,FUN TO THE WILD,LYNK & CO AUTOMOBILES SALES CO LTD,D&S MEDIA,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/2026e4ee4c92452dafdd824d172c4efb
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,FEEL THE RHYTHM OF KOREA CAMPAIGN,KOREA TOURISM ORGANIZATION,HS AD,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/c7bff5b26eb24adcb032d311f43f2128
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,SBI FINDS SBI,SBI SAVINGS BANK,HS AD,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/2911774b29d744459ae75fcf6f2bc831
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,REALME HOW DARE YOU,REALME,MEDIAMONKS,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/78efa8042c9d4a68a79e70a8398ed9ea
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,THE BE-THERE-ANYTIME GIFT,AMAZON,FACT,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/edb2b43c9e6e4768b853f7722f3ac231
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,MY HAPPY TABLE,MCDONALDS SINGAPORE,McDONALDS,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/bad9a5294d23474bab2e2ed5374e945e
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,MERCY IS POWER,TRAFFIC INTERNATIONAL,MASKET COMMUNICATIONS COLTD,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/fbdd562084d249a99d0fd50fe4c8dbd2
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,LIFE AFTER DELIVERY ON THE STREETS OF HANOI,THE NEIGHBOURHOOD,FOURDOZEN,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/2ca6d8542a194b96b47a7f36cbc12ba8
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,DEPRESSION CAN BE EVERYWHERE,PFIZER,WEBER SHANDWICK,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/14149ea9d1cb4cbf8d2357b4595d7194
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,SUNRISE-SADHER PUJO SWADER PUJO,SUNRISE PURE,ITC LTD - SUNRISE,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/823088bdae8348f3a5e1f2ef8673bdd5
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,2021 THE ALL NEW LYNK&CO 01 FUN TO THE WILD,LYNK&CO,D&S MEDIA,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/56677ad973c84aafa60b2e2e817342e6
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,THE DIVIDE,PAYTM,DENTSU CREATIVE,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/de55146fda1b469ba21d68ca93915178
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,FUELING OUR HOMETOWNS,IDEMITSU/SHELL,WUNDERMAN THOMPSON,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/c05c160454c54653a47eb5218bef04f2
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,THE BETTER HALF RECIPES,SWIGGY,DENTSU CREATIVE,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/434613ae855b4659901ff82c2af9e0a9
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,MAKING ACCOUNTING MORE FREE,ROBOT PAYMENT INC,OFFSIDE INC,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/cd1323fa394f4c95ab5e3e602b0d8102
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,2021 DOVE CNY CAMPAIGN,DOVE,MEDIACOM,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/c7c365379bec468790c098106266e128
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,THE LOST DAUGHTERS,SANLAAP,WUNDERMAN THOMPSON,Cultural Insight,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/ec9a5a0370104804a348c4019d30ead0
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,SCENTED STICKER TESTER,EVEANDBOY,WUNDERMAN THOMPSON,Breakthrough on a Budget,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/a5df5f85a18a446f931da83538cde31e
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,GUILTY FREE FESTIVAL,CENTRAL DEPARTMENT STORE,WOLF,Breakthrough on a Budget,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/479dc2bc40f0469f9923f48fc88cdef8
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,PITVERTISING,UNILEVER,CLEMENGER BBDO,Breakthrough on a Budget,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/e77489b639314fc1a6a00287fa404c7b
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,[HOPE SHOPPING CAMPAIGN] SHOPPING A SOURCE OF HOPE,11STREET,11 STREET,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/1b9a67b838974090b3e8762700fb5883
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,MASK ID,DALKOMM,INNOCEAN WORLDWIDE,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/fdc378a9de924b058a899b69ba65e3d3
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,SANGSOM BAAN FULLMOON,THAI BEVERAGE CO LTD,SOUR BANGKOK,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/f48bf94b0912438cb9c24325b449fd40
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,THE 18 HERBS IDOL,CHOLAYIL - MEDIMIX,GRAPES DIGITAL,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/bf7118f7fde84f1da1b893d684d8195f
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,DEAR I ADOPTED A CLOWNFISH ORIS CLOWNFISH ONLINE ADOPTION PROGRAM,ORIS HOLDING AG TAIWAN BRANCH (SWITZERLAND),DENTSU X,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/1faad767a004463ea6626430357fbc9d
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,NO MORE TOMORROW NEVER COMES,THE IWATE NIPPO CO,HAKUHODO INC,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/1853de8d04ae434e88efe6c46ae2d044
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,PAPERTOWEL SAVING CAMPAIGN GREEN TOGETHER POSTER,LOTTE CHILSUNG,LOTTE CHILSUNG,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/92d404d550194165ba2ca9f4254f4c0a
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,PLASTIC UPCYCLING PROJECTYELLOW EDITION,KB KOOKMIN CARD,CHAI COMMUNICATION,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/fc1b32bd982e4960878b8f989ba37106
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,DISCOVER THE STATE THEATRE IN ALL OF US,NEW WORLD DEVELOPMENT,SAATCHI & SAATCHI,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/0613b07fa8cc4b12a31d7bab1a6ebb2b
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,MY HAPPY TABLE,MCDONALDS SINGAPORE,McDONALDS,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/bad9a5294d23474bab2e2ed5374e945e
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,OUR QUESTIONS TO THE FUTURE,WAVEMAKER X ZHIHU,WAVEMAKER,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/6be407be3ecb4787a1a84acc2e309622
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,SAFARI SAFE DISTANCE,TAMAN SAFARI,PT HUTCHISON 3 INDONESIA,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/df715a857e27497389e13608613a3c01
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,NETFLIX AND BMC PRESENTS MONEY HEIST - NAAK BANDHI,NETFLIX INDIA,NETFLIX,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/d376d65b596c46efaa710c179b9da278
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,CARRY YOUR DREAM CARRY YOUR LIFE,SUZUKI MOTOR THAILAND,DENTSU IMPACT THAILAND,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/c2cd3e247f21479486d8a21c38c54eab
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,IN SEARCH OF WRINKLES FOR THE ELEPHANTS,LOREAL,HORIZON,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/dd8900eb5ad74d3e9c5e304dae705c8c
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,THE DIVIDE,PAYTM,DENTSU CREATIVE,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/5aef3e8ffaa043b1ade3f3cf1a5b1b20
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,BEYOND THE STADIUM,SK-II,FORSMAN & BODENFORS,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/01f92e462925436291086e034a056665
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,MAKING ACCOUNTING MORE FREE,ROBOT PAYMENT INC,OFFSIDE INC,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/1400e60434774b189718db9c8a4682a0
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,LOVE AT FIRST STRAY,PCHOME 24H SHOPPING,ADK TAIWAN,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/9549467393ca4c11a1675154422b8318
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,CLASSROOMS IN THE CLOUD,TELENOR,OGILVY PAKISTAN,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/dd2411fe206446e889d6d50e52e7adac
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,FEEL LIKE A NEW HOME,SC ASSET,WOLF,Market Disruption,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/6b353c56a9604e9f92adc1d1b3859120
Spikes Asia,2022,CUSTOMER ACQUISITION & RETENTION,ONE TRUE PAIR MOVIE,JOLLIBEE,PUBLICIS JIMENEZBASIC,Market Disruption,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/31a04405a3ee42be9642dc29a8b4dccc
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,THE UNFILTERED HISTORY TOUR,VICE WORLD NEWS,DENTSU CREATIVE,Spatial & Sculptural Exhibitions and Experiences,Grand Prix,https://ascentialcdn.filespin.io/api/v1/storyboard/c27762eebb9c4541afea321e0ff2a811/storyboard_000008.jpg
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,THE UNFILTERED HISTORY TOUR,VICE WORLD NEWS,DENTSU CREATIVE,Events Storytelling,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/c27762eebb9c4541afea321e0ff2a811/storyboard_000008.jpg
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,EATQUAL,MCDONALDS,DDB MUDRA,Consumer Goods,Gold,https://ascentialcdn.filespin.io/api/v1/conversion/a559f0d91ff94866a474ffe6a43a799d
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,BOOK OF LIMBO,BELONG,HOWATSON COMPANY,Books,Silver,https://ascentialcdn.filespin.io/api/v1/conversion/947ed0d81bc04234856f8a1533fe1a9d
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,DISEASE DILEMMAS,GARVAN INSTITUTE OF MEDICAL RESEARCH,DENTSU CREATIVE,Digital & Interactive Design,Silver,https://ascentialcdn.filespin.io/api/v1/conversion/e352818c26ec4ab7967b68c77810fd03
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,THE DISSOLVING BOTTLE,THE NATURALE MARKET,BBDO GUERRERO,Beauty & Healthcare,Silver,https://ascentialcdn.filespin.io/api/v1/conversion/24f34d389e864802b218563aed9150e8
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,SOCIAL DISTANCING PRAYER MAT,DETTOL,BBDO PAKISTAN,Environmental & Social Impact,Silver,https://ascentialcdn.filespin.io/api/v1/conversion/cc02d3c806444e54af699b2965878bd4
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,A-LEAGUES - BRAND,A LEAGUES,R/GA,Rebrand & Refresh of an existing Brand,Bronze,https://ascentialcdn.filespin.io/api/v1/conversion/25935793bde24e76bfaa88f11ed8b746
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,FLAVOUR OF HOME,SUSHI SEI,HAKUHODO INDONESIA,Posters,Bronze,https://ascentialcdn.filespin.io/api/v1/conversion/a7269b87c0e3413ca5025407140aa7e5
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,PACKAGE FOR JAPANESE SHRIMP CRACKERS,KEISHINDO,MITAI CO LTD,Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/conversion/f9f3d43a17b948399173b98736188286
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,AIR PADDING,PARACOSM STUDIO,INNOCEAN WORLDWIDE,Environmental & Social Impact,Bronze,https://ascentialcdn.filespin.io/api/v1/conversion/e0fa3e2598bb4d22a19c6694fc29b56b
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,EATQUAL,MCDONALDS,DDB MUDRA,Environmental & Social Impact,Bronze,https://ascentialcdn.filespin.io/api/v1/conversion/a559f0d91ff94866a474ffe6a43a799d
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,THE DISSOLVING BOTTLE,THE NATURALE MARKET,BBDO GUERRERO,Environmental & Social Impact,Bronze,https://ascentialcdn.filespin.io/api/v1/conversion/24f34d389e864802b218563aed9150e8
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,TOKYO 2020 LOOK OF THE GAMES,THE TOKYO ORGANISING COMMITTEE OF THE OLYMPIC AND PARALYMPIC GAMES,DENTSU INC,Creation of a new Brand Identity,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/4e4d59d2cf084a4a8c159536ce3f3c09
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,THE BIRDS & THE BEES,UNITED NATIONS DEVELOPMENT PROGRAMME,WUNDERMAN THOMPSON,Books,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/32417343f1ed4eff9ad1147d514de005
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,CREATIVE FILTRATION,NIKKEI INC,DENTSU INC,Publications & Brand Collateral,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/fc27ed13fcfe4f78b813e1c0eb9ad0e3
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,GFNW NEWSPAPER,NETFLIX /BRAVO! STUDIOS / GMM STUDIOS INTERNATIONAL,SOUR BANGKOK,Publications & Brand Collateral,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/7af70e6415a5443085796c77c57458ad
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,ABANDONED STATIONS,VOLKSWAGEN,CHEIL,Posters,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/0e975fd398d24daeb7ec5e0ff46b6ea4
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,CONNECT WITH THE FOUNDATION,TOKAI,DENTSU INC,Posters,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/06e33620b41a4e90a736574880e292ea
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,SLOW ROAD,JEJU TOURISM ORGANIZATION,CHEIL WORLDWIDE,Digital & Interactive Design,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/475d4d3f46384ae2b86cd944151f4c8c/storyboard_000008.jpg
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,LITTLE BIG E-MOTION,HYUNDAI,INNOCEAN WORLDWIDE,Digital & Interactive Design,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/5676478ac0d24beda1c823c4db7dcc71
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,LIONS GOOD NEWS 2020,NIKKEI INC,PR CONSULTING DENTSU INC,Digital & Interactive Design,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/33df43bbc94f4efdbd667c1284e934b3
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,LIFE PLATE,ECOFLOW,DENTSU INC,Retail Environment & Experience Design,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/26e0f2ea92ec4718b8a3b07bb03de4c6
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,GUESS WHICH BOOK IS IT?,YAN JI YOU BOOKSTORE,THE NINE,Retail Environment & Experience Design,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/75ee19adb6f64cde94f8c0cc63f00af0
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,GUILTY FREE FESTIVAL,CENTRAL DEPARTMENT STORE,WOLF,Point of Sales Consumer Touchpoints & In-store Collateral,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/4368c009fabb4a619d91f2531ec4e2cf
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,GUESS WHICH BOOK IS IT?,YAN JI YOU BOOKSTORE,THE NINE,Point of Sales Consumer Touchpoints & In-store Collateral,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/75ee19adb6f64cde94f8c0cc63f00af0
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,LITTLE BIG E-MOTION,HYUNDAI,INNOCEAN WORLDWIDE,Events Storytelling,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/e55c7e57567645bd8e66d652e39380dd
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,GUESS WHICH BOOK IS IT?,YAN JI YOU BOOKSTORE,THE NINE,Spatial & Sculptural Exhibitions and Experiences,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/75ee19adb6f64cde94f8c0cc63f00af0
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,AIR PADDING,PARACOSM STUDIO,INNOCEAN WORLDWIDE,Consumer Products,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/5b98ded9ff534f048055d63f853d9989
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,ONE HOUSE TO SAVE MANY,SUNCORP BRAND,LEO BURNETT,Environmental & Social Impact,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/1b6b66594ff54ef19cbe28667c9a76fe
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,AIR PADDING,PARACOSM STUDIO,INNOCEAN WORLDWIDE,Innovative solutions,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/cedc8d6c78cb499785dec10508d171d2
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,FLIP TO SPACE,ALE CO LTD,DENTSU INC,Creation of a new Brand Identity,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/66ce61c09971428592980f0c7f0408ba
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,FIRST SHAVE BOOK,KAI CORPORATION,DENTSU AD-GEAR,Creation of a new Brand Identity,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/069370596f8842c484c3cf8fceb6da1b
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,OYO CAMPUS,OYO CAMPUS,OYO HOTELS AND HOMES PVT LTD,Creation of a new Brand Identity,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/8b794aeb5ee3472498b7a123559b53ed
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,INNOCELL BRAND LAUNCH,HONG KONG SCIENCE & TECHNOLOGY PARK,MEDIAM RARE,Creation of a new Brand Identity,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/dafac4278f664fc3a353c869d1dfdb2e
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,BODYRIGHT - THE WORLDS FIRST COPYRIGHT FOR THE HUMAN BODY,BODYRIGHT,TBWA\NZ,Creation of a new Brand Identity,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/ebd5b434ee9c4b5da57b58dcd0c0d8bd
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,CHANGING THE FACE OF DIGITAL BANKING IN ASIA,STANDARD CHARTERED,ANALOGFOLK,Creation of a new Brand Identity,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/442116f004b54a75b6fb5400b2bd847a
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,WE GOT THIS,WWF TEMASEK FOUNDATION GREEN IS THE NEW BLACK,GREY,Creation of a new Brand Identity,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/e00b003accb343d28f87d3845d814d46
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,LUX BRAND REVITALIZATION - A BRAND POWERED BY PURPOSE,UNILEVER FOR LUX,CBA DESIGN,Rebrand & Refresh of an existing Brand,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/49aa7c52f9b0417d9787b5708d35df5e
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,KATHMANDU,KATHMANDU,SPECIAL,Rebrand & Refresh of an existing Brand,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/d157e8b8e9e348f68c796fe3b2b68f35
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,MORE THAN JUST SWEET,QUEBEC MAPLE SYRUP PRODUCERS (QMSP),RELATIV*,Rebrand & Refresh of an existing Brand,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/de76a73934f8437dbde8e750562fa8be/storyboard_000008.jpg
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,TOYOTA ASIA PACIFIC REBRAND,TOYOTA ASIA PACIFIC,HOUSTON GROUP,Rebrand & Refresh of an existing Brand,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/65c906ebee2f43dea584b15c5331f4a7
Spikes Asia,2022,SPATIAL & SCULPTURAL EXHIBITIONS AND EXPERIENCES,FEEL GOOD,KFC PAKISTAN,GRAY MACKENZIE RESTAURANTS,Rebrand & Refresh of an existing Brand,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/63d9fdd97a004853a61253bcd62344cf
