Festival,Year,Track,Title,Brand,Agency,Category,Format,Award level,Board image
Gerety Awards,2025,AGENCY OF THE YEAR x COUNTRY,,,SERVICEPLAN GERMANY,GERMANY,,Gold,https://www.geretyawards.com/winners/2025/entry/186608/serviceplan-germany
Gerety Awards,2025,AGENCY OF THE YEAR x COUNTRY,,,Hakuhodo Inc,JAPAN,,Gold,https://www.geretyawards.com/winners/2025/entry/187317/hakuhodo-inc
Gerety Awards,2025,AGENCY OF THE YEAR x COUNTRY,,,MullenLowe MENA,MEA,,Gold,https://www.geretyawards.com/winners/2025/entry/186887/mullenlowe-mena
Gerety Awards,2025,AGENCY OF THE YEAR x COUNTRY,,,El Ruso de Rocky,SPAIN,,Gold,https://www.geretyawards.com/winners/2025/entry/185634/el-ruso-de-rocky
Gerety Awards,2025,B2B,Sleep With Rain,AT&T Business,WEST BBDO,,INTEGRATED,Gold,https://www.geretyawards.com/winners/2025/entry/187552/sleep-with-rain-at-t-business
Gerety Awards,2025,B2B,Thanks for Coke-Creating,Coca-Cola,VML,,INTEGRATED,Gold,https://www.geretyawards.com/winners/2025/entry/187103/thanks-for-coke-creating-coca-cola
Gerety Awards,2025,B2B,Trust Bars,Heineken,LePub Singapore,EMERGING COMMERCE,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/187307/trust-bars-heineken
Gerety Awards,2025,B2B,Fantenders,Heineken,BBH China Ltd,ALTERNATIVE,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/186592/fantenders-heineken
Gerety Awards,2025,B2B,Unstoppable,SAP,BBDO New York,ONLINE VIDEO,CAMPAIGN,Bronze,https://www.geretyawards.com/winners/2025/entry/187551/unstoppable-sap
Gerety Awards,2025,B2B,DONT LOOK DOWN,FIXBY,MullenLowe MENA,TV/CINEMA,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186611/don-t-look-down-fixby
Gerety Awards,2025,B2B,P Is For Performance,Pinterest,Pinterest House of Creative,TV/CINEMA,CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/187193/p-is-for-performance-pinterest
Gerety Awards,2025,B2B,The Authorized Hack A Prime-Time Tribute to Telefonicas Centenary,Telefonica,Havas Media,TV/CINEMA,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/176355/the-authorized-hack-a-prime-time-tribute-to-telefonica-s-centenary-telefonica
Gerety Awards,2025,COMMUNICATION CUT ,PRICE PACKS,PENNY,SERVICEPLAN GERMANY,PRODUCT & PACKAGING DESIGN,SINGLE,Grand Prix,https://www.geretyawards.com/winners/2025/entry/178559/price-packs-penny
Gerety Awards,2025,COMMUNICATION CUT ,Its Part of the Game,Dirt is Good,MullenLowe UK,PRINT (PRESS),CAMPAIGN,Gold,https://www.geretyawards.com/winners/2025/entry/187511/it-s-part-of-the-game-dirt-is-good
Gerety Awards,2025,COMMUNICATION CUT ,Never Just A Period,Bodyform/Libresse,AMVBBDO,ONLINE VIDEO,SINGLE,Gold,https://www.geretyawards.com/winners/2025/entry/187592/never-just-a-period-bodyform-libresse
Gerety Awards,2025,COMMUNICATION CUT ,Returning Creativity,Crayola,Dentsu Creative New York,PR,SINGLE,Gold,https://www.geretyawards.com/winners/2025/entry/185966/returning-creativity-crayola
Gerety Awards,2025,COMMUNICATION CUT ,Dancing Washers,Whirlpool,VML Mexico,DIGITAL,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/186480/dancing-washers-whirlpool
Gerety Awards,2025,COMMUNICATION CUT ,Dancing Washers,Whirlpool,VML Mexico,EMERGING COMMERCE,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/186481/dancing-washers-whirlpool
Gerety Awards,2025,COMMUNICATION CUT ,Equal Communication,TERRE DES FEMMES,Scholz & Friends,RADIO,CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/185945/equal-communication-terre-des-femmes
Gerety Awards,2025,COMMUNICATION CUT ,Good To Read Packs,Bennet,DDB Group Italy,PRODUCT & PACKAGING DESIGN,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/185301/good-to-read-packs-bennet
Gerety Awards,2025,COMMUNICATION CUT ,Good To Read Packs,Bennet,DDB Group Italy,PR,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/185841/good-to-read-packs-bennet
Gerety Awards,2025,COMMUNICATION CUT ,Its Part of the Game,Dirt is Good,MullenLowe UK,PRINT (OUTDOOR),CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/187503/it-s-part-of-the-game-dirt-is-good
Gerety Awards,2025,COMMUNICATION CUT ,Progresso Soup Drops,Progresso,Edelman,PR,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/187791/progresso-soup-drops-progresso
Gerety Awards,2025,COMMUNICATION CUT ,Thanks for Coke-Creating,Coca-Cola,VML,PRINT (OUTDOOR),CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/187200/thanks-for-coke-creating-coca-cola
Gerety Awards,2025,COMMUNICATION CUT ,The Final Copy of Ilon Specht,LOrEal Paris,McCann Paris,,INTEGRATED,Silver,https://www.geretyawards.com/winners/2025/entry/187413/the-final-copy-of-ilon-specht-l-or-al-paris
Gerety Awards,2025,COMMUNICATION CUT ,The First Speech,Reporters Without Borders,INNOCEAN Berlin,TV/CINEMA,CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/180449/the-first-speech-reporters-without-borders
Gerety Awards,2025,COMMUNICATION CUT ,Unsilence the Crowd,Sela,VML UK,ALTERNATIVE,CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/180548/unsilence-the-crowd-sela
Gerety Awards,2025,COMMUNICATION CUT ,Unsilence the Violence,TERRE DES FEMMES,Scholz & Friends / 2030 Kommunikation,PRINT (OUTDOOR),CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/177345/unsilence-the-violence-terre-des-femmes
Gerety Awards,2025,COMMUNICATION CUT ,Usyk Vs Fury Reignited,Riyadh Season,BigTime Creative Shop,ONLINE VIDEO,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/176571/usyk-vs-fury-reignited-riyadh-season
Gerety Awards,2025,COMMUNICATION CUT ,Connecting Europe,German Rail,Ogilvy Germany,PRINT (OUTDOOR),CAMPAIGN,Bronze,https://www.geretyawards.com/winners/2025/entry/177077/connecting-europe-german-rail
Gerety Awards,2025,COMMUNICATION CUT ,Dont call it love,Yves Saint Laurent BeautE,BETC,ONLINE VIDEO,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/187269/don-t-call-it-love-yves-saint-laurent-beaut
Gerety Awards,2025,COMMUNICATION CUT ,Food Deserves Pepsi,Pepsi | PepsiCo,BBDO New York,,INTEGRATED,Bronze,https://www.geretyawards.com/winners/2025/entry/187555/food-deserves-pepsi-pepsi-pepsico
Gerety Awards,2025,COMMUNICATION CUT ,Its Part of the Game,Dirt is Good,MullenLowe UK,,INTEGRATED,Bronze,https://www.geretyawards.com/winners/2025/entry/187519/it-s-part-of-the-game-dirt-is-good
Gerety Awards,2025,COMMUNICATION CUT ,Made to Make You Think,BBC Studios,R/GA,STRATEGY,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/186965/made-to-make-you-think-bbc-studios
Gerety Awards,2025,COMMUNICATION CUT ,SFI IRL,Malm Stad,BBDO Nordics,PRINT (OUTDOOR),SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/186279/sfi-irl-malm-stad
Gerety Awards,2025,COMMUNICATION CUT ,The Mayo Exchange,Hellmanns,Edelman,ALTERNATIVE,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/187076/the-mayo-exchange-hellmann-s
Gerety Awards,2025,COMMUNICATION CUT ,The Red Flag Tag,IKEA,DDB Group Italy,PR,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/185616/the-red-flag-tag-ikea
Gerety Awards,2025,COMMUNICATION CUT ,The Smootheriser,Heineken,LePub Singapore,PRODUCT & PACKAGING DESIGN,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/187316/the-smootheriser-heineken
Gerety Awards,2025,COMMUNICATION CUT ,The Unburied Casket,Woman For Change,Edelman,ALTERNATIVE,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/187531/the-unburied-casket-woman-for-change
Gerety Awards,2025,COMMUNICATION CUT ,The full picture,yeswecan!cer,Saatchi & Saatchi Germany,TV/CINEMA,CAMPAIGN,Bronze,https://www.geretyawards.com/winners/2025/entry/187345/the-full-picture-yeswecan-cer
Gerety Awards,2025,COMMUNICATION CUT ,Visit Canada,Petro-Canada,McCann Canada,PRINT (OUTDOOR),CAMPAIGN,Bronze,https://www.geretyawards.com/winners/2025/entry/186672/visit-canada-petro-canada
Gerety Awards,2025,COMMUNICATION CUT ,2024 Brand Campaign,Pinterest,Pinterest House of Creative,TV/CINEMA,CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/187190/2024-brand-campaign-pinterest
Gerety Awards,2025,COMMUNICATION CUT ,A Soup to Remember,Marodi,Komunikacijski laboratorij,PR,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/187077/a-soup-to-remember-marodi
Gerety Awards,2025,COMMUNICATION CUT ,Anti Murphys Law Toast,Opella-Enterogermina,MRM Spain,ONLINE VIDEO,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186757/anti-murphy-s-law-toast-opella-enterogermina
Gerety Awards,2025,COMMUNICATION CUT ,Anti Murphys Law Toast,Opella-Enterogermina,MRM Spain,PR,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/187146/anti-murphy-s-law-toast-opella-enterogermina
Gerety Awards,2025,COMMUNICATION CUT ,Bubbles,Deutsche Telekom,Saatchi & Saatchi Germany /MUW Saatchi & Saatchi,TV/CINEMA,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/187359/bubbles-deutsche-telekom
Gerety Awards,2025,COMMUNICATION CUT ,Carbon Cakes,Fujitsu,R/GA Japan,ALTERNATIVE,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186966/carbon-cakes-fujitsu
Gerety Awards,2025,COMMUNICATION CUT ,Choreography of Monotony,LinkedIn,Philipp und Keuntje GmbH,TV/CINEMA,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186895/choreography-of-monotony-linkedin
Gerety Awards,2025,COMMUNICATION CUT ,Choreography of Monotony,LinkedIn,Philipp und Keuntje GmbH,ONLINE VIDEO,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186899/choreography-of-monotony-linkedin
Gerety Awards,2025,COMMUNICATION CUT ,Clash of Commuters,Samsung,Clemenger BBDO,MOBILE,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186503/clash-of-commuters-samsung
Gerety Awards,2025,COMMUNICATION CUT ,DONT LOOK DOWN,FIXBY,MullenLowe MENA,TV/CINEMA,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186765/don-t-look-down-fixby
Gerety Awards,2025,COMMUNICATION CUT ,DrunkenBait,Carlsberg,Burson Sweden,PR,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/187106/drunkenbait-carlsberg
Gerety Awards,2025,COMMUNICATION CUT ,Endless Runway,eBay,Edelman,ALTERNATIVE,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/187795/endless-runway-ebay
Gerety Awards,2025,COMMUNICATION CUT ,Everything or Nothing,General Entertainment Authority,BigTime Creative Shop,ONLINE VIDEO,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/180574/everything-or-nothing-general-entertainment-authority
Gerety Awards,2025,COMMUNICATION CUT ,Glassphemy,Guinness,VML UK,,INTEGRATED,Shortlist,https://www.geretyawards.com/winners/2025/entry/180540/glassphemy-guinness
Gerety Awards,2025,COMMUNICATION CUT ,Guilty Pets,IKEA,INGO Hamburg,PRINT (OUTDOOR),CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/177040/guilty-pets-ikea
Gerety Awards,2025,COMMUNICATION CUT ,History Outnumbered,History Channel,Dentsu Creative Iberia,TV/CINEMA,CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/187534/history-outnumbered-history-channel
Gerety Awards,2025,COMMUNICATION CUT ,Irmela vs Nazis,toom DIY market,Scholz & Friends,TV/CINEMA,CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/185946/irmela-vs-nazis-toom-diy-market
Gerety Awards,2025,COMMUNICATION CUT ,Its Part of the Game,Dirt is Good,Golin,PR,CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/187523/it-s-part-of-the-game-dirt-is-good
Gerety Awards,2025,COMMUNICATION CUT ,La-Z-Boy Ban Reclining,La-Z-Boy,Colle McVoy,,INTEGRATED,Shortlist,https://www.geretyawards.com/winners/2025/entry/180611/la-z-boy-ban-reclining-la-z-boy
Gerety Awards,2025,COMMUNICATION CUT ,Lomiteros After Hours,Burger King,GARABATO MULLENLOWE,PRINT (PRESS),CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/187550/lomiteros-after-hours-burger-king
Gerety Awards,2025,COMMUNICATION CUT ,MadrIsimo,Marias Gamesa,Isla RepUblica,PR,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/187834/madr-simo-marias-gamesa
Gerety Awards,2025,COMMUNICATION CUT ,Move forward,KANAZAWA HIGH SCHOOL SUMO TOURNAMENT,DENTSU INC,PRINT (PRESS),CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/186726/move-forward-kanazawa-high-school-sumo-tournament
Gerety Awards,2025,COMMUNICATION CUT ,NE PAS IGNORER,FONDATION DES FEMMES,AUSTRALIEGAD,ALTERNATIVE,CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/186920/ne-pas-ignorer-fondation-des-femmes
Gerety Awards,2025,COMMUNICATION CUT ,NEW AIR,DAIKIN,DENTSU CREATIVE France,ONLINE VIDEO,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186577/new-air-daikin
Gerety Awards,2025,COMMUNICATION CUT ,Not every smile starts with a smile,Colgate,VML Paris,PRINT (OUTDOOR),CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/186647/not-every-smile-starts-with-a-smile-colgate
Gerety Awards,2025,COMMUNICATION CUT ,Nutter Butter You Good?,Nutter Butter,Dentsu Creative New York,MOBILE,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186125/nutter-butter-you-good-nutter-butter
Gerety Awards,2025,COMMUNICATION CUT ,R & Create,Volkswagen R,DDB Germany,DIGITAL,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186464/r-create-volkswagen-r
Gerety Awards,2025,COMMUNICATION CUT ,Rainbow Wool,Schferei Stcke,SERVICEPLAN GERMANY,PR,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/180001/rainbow-wool-sch-ferei-st-cke
Gerety Awards,2025,COMMUNICATION CUT ,Share The First,Dove,Edelman,MOBILE,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/187074/share-the-first-dove
Gerety Awards,2025,COMMUNICATION CUT ,Share The First,Dove,Edelman,PR,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/187073/share-the-first-dove
Gerety Awards,2025,COMMUNICATION CUT ,Sleep with Rain,AT&T Business,West BBDO and Critical Mass,DIGITAL,CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/186298/sleep-with-rain-at-t-business
Gerety Awards,2025,COMMUNICATION CUT ,Somebody,NFL,72andSunny,TV/CINEMA,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186553/somebody-nfl
Gerety Awards,2025,COMMUNICATION CUT ,Sports reIllustrated,Dove,Edelman,PRINT (PRESS),SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/187792/sports-reillustrated-dove
Gerety Awards,2025,COMMUNICATION CUT ,Sweeter Than The Sweetest,Axe/Lynx,LOLA MullenLowe,TV/CINEMA,CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/187060/sweeter-than-the-sweetest-axe-lynx
Gerety Awards,2025,COMMUNICATION CUT ,The Ad No Man Saw,24/7 Emergency Room of the Hamburg Womens Shelters,Grabarz & Partner,PRINT (PRESS),SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186610/the-ad-no-man-saw-24-7-emergency-room-of-the-hamburg-women-s-shelters
Gerety Awards,2025,COMMUNICATION CUT ,The Art Of Stains,OMO (Dirt is Good),MullenLowe MENA,ALTERNATIVE,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186777/the-art-of-stains-omo-dirt-is-good
Gerety Awards,2025,COMMUNICATION CUT ,The Full Picture,Canon,INGO Hamburg / Memac Ogilvy Dubai,PRINT (OUTDOOR),CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/176406/the-full-picture-canon
Gerety Awards,2025,COMMUNICATION CUT ,The Holocaust The Holocaust The Holocaust,Swedish holocaust museum,BBDO Nordics,PRINT (PRESS),SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186389/the-holocaust-the-holocaust-the-holocaust-swedish-holocaust-museum
Gerety Awards,2025,COMMUNICATION CUT ,The Mozart Drop,Digital Kchel-Verzeichnis,Fork Unstable Media,PR,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/180529/the-mozart-drop-digital-k-chel-verzeichnis
Gerety Awards,2025,COMMUNICATION CUT ,The Philharmonic Prints,Berliner Philharmonie,Scholz & Friends,PRINT (OUTDOOR),CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/185942/the-philharmonic-prints-berliner-philharmonie
Gerety Awards,2025,COMMUNICATION CUT ,The Red Flag Tag,IKEA,DDB Group Italy,ALTERNATIVE,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/185840/the-red-flag-tag-ikea
Gerety Awards,2025,COMMUNICATION CUT ,The Smootheriser,Heineken,LePub Singapore,STRATEGY,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/187315/the-smootheriser-heineken
Gerety Awards,2025,COMMUNICATION CUT ,URBAN DOGGY FIT,GENERALI,DENTSU CREATIVE France,ALTERNATIVE,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/187142/urban-doggy-fit-generali
Gerety Awards,2025,COMMUNICATION CUT ,Undeleted,Dove,VML Argentina,,INTEGRATED,Shortlist,https://www.geretyawards.com/winners/2025/entry/186998/undeleted-dove
Gerety Awards,2025,COMMUNICATION CUT ,Undeleted,Dove,VML Argentina,ALTERNATIVE,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186933/undeleted-dove
Gerety Awards,2025,COMMUNICATION CUT ,We are not alone,Nivea,Publicis One Touch,ONLINE VIDEO,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/187372/we-are-not-alone-nivea
Gerety Awards,2025,COMMUNICATION CUT ,not the last kick,hatari,hakuhodo bangkok,PR,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/176164/not-the-last-kick-hatari
Gerety Awards,2025,CRAFT CUT ,Never Just A Period,Bodyform/Libresse,AMVBBDO,ART DIRECTION,SINGLE,Grand Prix,https://www.geretyawards.com/winners/2025/entry/187593/never-just-a-period-bodyform-libresse
Gerety Awards,2025,CRAFT CUT ,Sennas Cut,Netflix,Monks Buenos Aires,EDITING,SINGLE,Grand Prix,https://www.geretyawards.com/winners/2025/entry/186129/senna-s-cut-netflix
Gerety Awards,2025,CRAFT CUT ,A Tale As Old As Websites,Squarespace,Squarespace,DIRECTION,SINGLE,Gold,https://www.geretyawards.com/winners/2025/entry/187584/a-tale-as-old-as-websites-squarespace
Gerety Awards,2025,CRAFT CUT ,Bubbles,Deutsche Telekom,Saatchi & Saatchi Germany /MUW Saatchi & Saatchi,PRODUCTION DESIGN,SINGLE,Gold,https://www.geretyawards.com/winners/2025/entry/187362/bubbles-deutsche-telekom
Gerety Awards,2025,CRAFT CUT ,Never Just A Period,Bodyform/Libresse,AMVBBDO,DIRECTION,SINGLE,Gold,https://www.geretyawards.com/winners/2025/entry/187594/never-just-a-period-bodyform-libresse
Gerety Awards,2025,CRAFT CUT ,Never Just A Period,Bodyform/Libresse,AMVBBDO,SOUND DESIGN,SINGLE,Gold,https://www.geretyawards.com/winners/2025/entry/187596/never-just-a-period-bodyform-libresse
Gerety Awards,2025,CRAFT CUT ,The First Speech,Reporters Without Borders,INNOCEAN Berlin,CINEMATOGRAPHY,CAMPAIGN,Gold,https://www.geretyawards.com/winners/2025/entry/180457/the-first-speech-reporters-without-borders
Gerety Awards,2025,CRAFT CUT ,Thread,Commission des normes de lEquitE de la santE et de la sEcuritE du travail (CNESST),Cossette,ANIMATION,SINGLE,Gold,https://www.geretyawards.com/winners/2025/entry/187107/thread-commission-des-normes-de-l-quit-de-la-sant-et-de-la-s-curit-du-travail-cnesst
Gerety Awards,2025,CRAFT CUT ,Miniatur Warmland,Telekom,Grabarz & Partner,VISUAL EFFECTS,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/186686/miniatur-warmland-telekom
Gerety Awards,2025,CRAFT CUT ,2024 Brand Campaign,Pinterest,Pinterest House of Creative,ART DIRECTION,CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/187182/2024-brand-campaign-pinterest
Gerety Awards,2025,CRAFT CUT ,2024 Brand Campaign,Pinterest,Pinterest House of Creative,PRODUCTION DESIGN,CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/187192/2024-brand-campaign-pinterest
Gerety Awards,2025,CRAFT CUT ,855-HOW-TO-QUIT-(OPIOIDS),Anzen Health,SERVICEPLAN GERMANY / MEDIAPLUS GROUP,ART DIRECTION,CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/178579/855-how-to-quit-opioids-anzen-health
Gerety Awards,2025,CRAFT CUT ,BREAKING GLASS,SCANDINAVIAN AIRLINES,No Agency,DIRECTION,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/186810/breaking-glass-scandinavian-airlines
Gerety Awards,2025,CRAFT CUT ,BREAKING GLASS,SCANDINAVIAN AIRLINES,No Agency,PRODUCTION DESIGN,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/186961/breaking-glass-scandinavian-airlines
Gerety Awards,2025,CRAFT CUT ,Bubbles,Deutsche Telekom,Saatchi & Saatchi Germany /MUW Saatchi & Saatchi,MUSIC,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/187361/bubbles-deutsche-telekom
Gerety Awards,2025,CRAFT CUT ,Call of The Kings,Riyadh Season,Big Time Creative Shop,VISUAL EFFECTS,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/178129/call-of-the-kings-riyadh-season
Gerety Awards,2025,CRAFT CUT ,Everything or Nothing,General Entertainment Authority,BigTime Creative Shop,MUSIC,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/180495/everything-or-nothing-general-entertainment-authority
Gerety Awards,2025,CRAFT CUT ,Get an Airbnb,Airbnb,BUCK,ANIMATION,CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/174940/get-an-airbnb-airbnb
Gerety Awards,2025,CRAFT CUT ,Imperfect Motherhoods,Marias,Isla,DIRECTION,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/187284/imperfect-motherhoods-marias
Gerety Awards,2025,CRAFT CUT ,In Hot Water,WWF,NOMINT,ANIMATION,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/186525/in-hot-water-wwf
Gerety Awards,2025,CRAFT CUT ,In Hot Water,WWF,NOMINT,ART DIRECTION,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/186527/in-hot-water-wwf
Gerety Awards,2025,CRAFT CUT ,In Hot Water,WWF,NOMINT,PRODUCTION DESIGN,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/186528/in-hot-water-wwf
Gerety Awards,2025,CRAFT CUT ,Listen to your heart,Powerbeats,Translation,COPYWRITING,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/178659/listen-to-your-heart-powerbeats
Gerety Awards,2025,CRAFT CUT ,Never Just A Period,Bodyform/Libresse,AMVBBDO,EDITING,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/187595/never-just-a-period-bodyform-libresse
Gerety Awards,2025,CRAFT CUT ,PRICE PACKS,PENNY,SERVICEPLAN GERMANY,ART DIRECTION,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/178562/price-packs-penny
Gerety Awards,2025,CRAFT CUT ,PRICE PACKS,PENNY,SERVICEPLAN GERMANY,TYPOGRAPHY,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/178561/price-packs-penny
Gerety Awards,2025,CRAFT CUT ,Packed Full of History,Samsung,Clemenger BBDO,ART DIRECTION,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/186501/packed-full-of-history-samsung
Gerety Awards,2025,CRAFT CUT ,Paris Paralympics  2024 Considering What,Channel 4,4creative,DIRECTION,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/187585/paris-paralympics-2024-considering-what-channel-4
Gerety Awards,2025,CRAFT CUT ,Rejenerated,Australian Broadcasting Corporation,Howatson+Company,TYPOGRAPHY,CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/186578/rejenerated-australian-broadcasting-corporation
Gerety Awards,2025,CRAFT CUT ,The Cause of The Accident That Caused The Fire,ICEX Audiovisual from Spain,-,DIRECTION,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/177002/the-cause-of-the-accident-that-caused-the-fire-icex-audiovisual-from-spain
Gerety Awards,2025,CRAFT CUT ,The Philharmonic Prints,Berliner Philharmonie,Scholz & Friends,ART DIRECTION,CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/186521/the-philharmonic-prints-berliner-philharmonie
Gerety Awards,2025,CRAFT CUT ,The Philharmonic Prints,Berliner Philharmonie,Scholz & Friends,ILLUSTRATION,CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/186522/the-philharmonic-prints-berliner-philharmonie
Gerety Awards,2025,CRAFT CUT ,Unwrap The Summer,Cornetto,LOLA MullenLowe,ART DIRECTION,CAMPAIGN,Silver,https://www.geretyawards.com/winners/2025/entry/187070/unwrap-the-summer-cornetto
Gerety Awards,2025,CRAFT CUT ,Wherever We Go,Telstra,Bear Meets Eagle On Fire,ANIMATION,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/176570/wherever-we-go-telstra
Gerety Awards,2025,CRAFT CUT ,Youre Not Ready,Netflix,Wieden + Kennedy Portland,EDITING,SINGLE,Silver,https://www.geretyawards.com/winners/2025/entry/179472/you-re-not-ready-netflix
Gerety Awards,2025,CRAFT CUT ,2024 Brand Campaign,Pinterest,Pinterest House of Creative,COPYWRITING,CAMPAIGN,Bronze,https://www.geretyawards.com/winners/2025/entry/187191/2024-brand-campaign-pinterest
Gerety Awards,2025,CRAFT CUT ,Audible X Antoine Bardou-Jacquet,Audible,Fold 7,VISUAL EFFECTS,CAMPAIGN,Bronze,https://www.geretyawards.com/winners/2025/entry/180469/audible-x-antoine-bardou-jacquet-audible
Gerety Awards,2025,CRAFT CUT ,Everything or Nothing,General Entertainment Authority,BigTime Creative Shop,CINEMATOGRAPHY,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/179943/everything-or-nothing-general-entertainment-authority
Gerety Awards,2025,CRAFT CUT ,Listen to your heart,Powerbeats,Translation,CINEMATOGRAPHY,SINGLE,Bronze,https://www.geretyawards.com/winners/2025/entry/178656/listen-to-your-heart-powerbeats
