Festival,Year,Track,Category,Title,Agency,Network,Holding,Country,Company,Brand,Product,Producer,Award,Board image,Permalink
FIAP,2025,Innovacion,Innovacion en Eventos-Experiencia,Le Golle,Mccann Worldgroup,Mccann Worldgroup,IPG,Costa Rica,Gollo,Gollo,Gollo,N-A,Bronce,,/awards/fiap/2025/campaigns/le-golle-gollo-mccann-worldgroup-2025-2/
FIAP,2025,Formatos,Own Media - Video Plataforma - Audio,La Playlist  De La Victoria,Arena- Jon Lavin - The Lion,Havas Media Network,Havas,España,Cervezas Victoria,Cervezas Victoria,Cervezas Victoria,Lobokane,Bronce,,/awards/fiap/2025/campaigns/la-playlist-de-la-victoria-cervezas-victoria-arena-jon-lavin-the-lion-2025/
FIAP,2025,Innovacion,Innovacion en Outdoor-Via Publica-Ambient,El Futbolin De Las Campeonas,Ernest,Agencia Independiente,Agencia Independiente,España,Abanca,Abanca,Abanca,La Remedios,Bronce,,/awards/fiap/2025/campaigns/el-futbolin-de-las-campeonas-abanca-ernest-2025/
FIAP,2025,Innovacion,Innovacion en Television,Creditos En Accion,Ernest,Agencia Independiente,Agencia Independiente,España,Abanca,Abanca Seguros,Abanca Seguros,La Remedios,Bronce,,/awards/fiap/2025/campaigns/creditos-en-accion-abanca-seguros-ernest-2025-2/
FIAP,2025,Innovacion,Innovacion en Outdoor-Via Publica-Ambient,Tres Anuncios En Las Afueras,Ernest,Agencia Independiente,Agencia Independiente,España,Abanca,Abanca Seguros,Abanca Seguros,La Remedios,Bronce,,/awards/fiap/2025/campaigns/tres-anuncios-en-las-afueras-abanca-seguros-ernest-2025-2/
FIAP,2025,Innovacion,Innovacion en Eventos-Experiencia,Tres Anuncios En Las Afueras,Ernest,Agencia Independiente,Agencia Independiente,España,Abanca,Abanca Seguros,Abanca Seguros,La Remedios,Bronce,,/awards/fiap/2025/campaigns/tres-anuncios-en-las-afueras-abanca-seguros-ernest-2025-3/
FIAP,2025,Innovacion,Innovacion en Medios Impresos,Tres Anuncios En Las Afueras,Ernest,Agencia Independiente,Agencia Independiente,España,Abanca,Abanca Seguros,Abanca Seguros,La Remedios,Bronce,,/awards/fiap/2025/campaigns/tres-anuncios-en-las-afueras-abanca-seguros-ernest-2025-4/
FIAP,2025,Innovacion,Salud,Anty Murphy´S Law Toast,MRM,Mccann Worldgroup,IPG,España,Opella-Enterogermina,Opella,Enterogermina,Cariño Contents,Bronce,,/awards/fiap/2025/campaigns/anty-murphys-law-toast-opella-mrm-2025-2/
FIAP,2025,Innovacion,Innovacion en Activaciones,Design Your Sleep While You Sleep,MRM,Mccann Worldgroup,IPG,España,Ikea,Ikea Family,Ikea Family,N-A,Bronce,,/awards/fiap/2025/campaigns/design-your-sleep-while-you-sleep-ikea-family-mrm-2025-2/
FIAP,2025,Innovacion,Innovacion en Marketing Directo,Design Your Sleep While You Sleep,MRM,Mccann Worldgroup,IPG,España,Ikea,Ikea Family,Ikea Family,N-A,Bronce,,/awards/fiap/2025/campaigns/design-your-sleep-while-you-sleep-ikea-family-mrm-2025-3/
FIAP,2025,Innovacion,Salud,Design Your Sleep While You Sleep,MRM,Mccann Worldgroup,IPG,España,Ikea,Ikea Family,Ikea Family,N-A,Bronce,,/awards/fiap/2025/campaigns/design-your-sleep-while-you-sleep-ikea-family-mrm-2025-4/
FIAP,2025,Innovacion,Innovacion en Tecnologia,Allevia Pollen Passport,MRM,Mccann Worldgroup,IPG,España,Opella-Allegra,Allegra,Allegra,N-A,Bronce,,/awards/fiap/2025/campaigns/allevia-pollen-passport-allegra-mrm-2025-3/
FIAP,2025,Formatos,Branded Content Integrado a Otras Plataformas,A Volta Ao Mundo Em 80000 Km,DOm Solucoes Improvaveis,Grupo Om,Grupo Om,Brasil,Continental Pneus,Ultracontact,Ultracontact Tire,DOm Soluções Improvaveis  -  Ariadna Equador,Bronce,,/awards/fiap/2025/campaigns/a-volta-ao-mundo-em-80000-km-ultracontact-dom-solucoes-improvaveis-2025/
FIAP,2025,Innovacion,Innovacion en Activaciones,Escape Room Soledad,Manifiesto,Agencia Independiente,Agencia Independiente,España,"Fundacion ""La Caixa""","Fundacion ""La Caixa""","Fundacion ""La Caixa""",Blua,Bronce,,/awards/fiap/2025/campaigns/escape-room-soledad-fundacion-la-caixa-manifiesto-2025-2/
FIAP,2025,Anuncios,Television - Cine - Digital - Campañas Bien Publico,El Atraco,La Despensa,Agencia Independiente,Agencia Independiente,España,Amnistia Internacional,Amnistia Internacional,Una Campaña Para Conseguir La Liberacion De Las Personas Condenadas En Rusia Por Protestar Contra La Guerra En Ucrania A Traves De Una Campaña De Recogida De Firmas,Rebolucion Y Mcnulty,Bronce,,/awards/fiap/2025/campaigns/el-atraco-amnistia-internacional-la-despensa-2025/
FIAP,2025,Formatos,Live Experience,Museo Cosplayer,Yoco Agency,Agencia Independiente,Agencia Independiente,Guatemala,Mcdonalds Guatemala,Mcdonalds,Salsa Chili Picante,Yoco,Bronce,,/awards/fiap/2025/campaigns/museo-cosplayer-mcdonalds-yoco-agency-2025/
FIAP,2025,Formatos,Mejor Uso de Influencer en Cualquier Plataforma,La Cancion De Amor Que No Sabias Que Escribiste,Valor,Agencia Independiente,Agencia Independiente,Peru,Alicorp,Amaras,Shampoo Amaras,Ka&O,Bronce,,/awards/fiap/2025/campaigns/la-cancion-de-amor-que-no-sabias-que-escribiste-amaras-valor-2025/
FIAP,2025,Anuncios,Television - Cine - Digital - Higiene Domestica Personal - Belleza - Cosmetica - Perfumeria - Articulos Medicinales y Farmaceuticos,No Seas Paloma!,Digitas,Publicis Worldwide,Publicis Groupe,Peru,Procter And Gamble,Oldspice,Oldpice En Barra,Rebeca,Bronce,,/awards/fiap/2025/campaigns/no-seas-paloma-oldspice-digitas-2025/
FIAP,2025,Anuncios,Grafica - Recreacion - Placer - Tiempo Libre - Transporte - Viajes - Turismo,Fire Prints,Tech And Soul,Tech And Soul,Tech And Soul,Brasil,Revista Unquiet,Revista Unquiet,Institucional,Tech And Soul,Bronce,,/awards/fiap/2025/campaigns/fire-prints-revista-unquiet-tech-and-soul-2025-2/
