Festival,Year,Track,Track slug,Title,Brand,Agency,Category,Award,Board image,Entry URL,Permalink
Spikes Asia,2026,Direct,direct,THE CEO DEEPFAKE,AUCKLAND SAVINGS BANK,"DROGA5 ANZ, PART OF ACCENTURE SONG",Consumer Services/Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/be72ff0a94894015930abeac17deef4e?quality=85&format=webp,https://www.lovethework.com/work/entries/the-ceo-deepfake-770592,/awards/spikes_asia/2026/campaigns/the-ceo-deepfake-auckland-savings-bank-droga5-anz-part-of-accenture-song-2026-3/
Spikes Asia,2026,Direct,direct,VI GUARDIAN BEADS,VI (VODAFONE IDEA),OGILVY,Small-Scale Media,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/59e2f9ee32a24c6a80c873cfe49413be?quality=85&format=webp,https://www.lovethework.com/work/entries/vi-guardian-beads-773054,/awards/spikes_asia/2026/campaigns/vi-guardian-beads-vi-vodafone-idea-ogilvy-2026-2/
Spikes Asia,2026,Direct,direct,CELCOMDIGI,CELCOMDIGI,CELCOMDIGI,Data-Driven Targeting,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/9d3276024c1044f498a11af23c21cb30?quality=85&format=webp,https://www.lovethework.com/work/entries/celcomdigi-771458,/awards/spikes_asia/2026/campaigns/celcomdigi-celcomdigi-celcomdigi-2026-2/
Spikes Asia,2026,Direct,direct,MEET ME AT THE COKE SIGN,COCA-COLA,OGILVY,Use of Print/Outdoor,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/e4e51d450eb8458dab81e55d80f5d56b?quality=85&format=webp,https://www.lovethework.com/work/entries/meet-me-at-the-coke-sign-769664,/awards/spikes_asia/2026/campaigns/meet-me-at-the-coke-sign-coca-cola-ogilvy-2026-2/
Spikes Asia,2026,Direct,direct,THE GUINEA PIG SCHEME,ONE NEW ZEALAND,FCB NEW ZEALAND,Launch/Relaunch,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/cf12f1b5de1841d08885514226260872?quality=85&format=webp,https://www.lovethework.com/work/entries/the-guinea-pig-scheme-770639,/awards/spikes_asia/2026/campaigns/the-guinea-pig-scheme-one-new-zealand-fcb-new-zealand-2026-3/
Spikes Asia,2026,Direct,direct,APP O'CLOCK,TELSTRA,+61,Use of Humour,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/469a9d9954a74cc480cb9797996a635f?quality=85&format=webp,https://www.lovethework.com/work/entries/app-oclock-770473,/awards/spikes_asia/2026/campaigns/app-oclock-telstra-61-2026-3/
Spikes Asia,2026,Direct,direct,GAMERS ON DUTY,LENOVO,LEO,Launch/Relaunch,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/6756b104632a4778a34700b1371cfacf?quality=85&format=webp,https://www.lovethework.com/work/entries/gamers-on-duty-771095,/awards/spikes_asia/2026/campaigns/gamers-on-duty-lenovo-leo-2026-7/
Spikes Asia,2026,Direct,direct,THE HARD RATED HOMECOMING,HARD RATED,"DROGA5 ANZ, PART OF ACCENTURE SONG",Launch/Relaunch,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/e64850f2202243e2bcff6b860b89ee3a?quality=85&format=webp,https://www.lovethework.com/work/entries/the-hard-rated-homecoming-770636,/awards/spikes_asia/2026/campaigns/the-hard-rated-homecoming-hard-rated-droga5-anz-part-of-accenture-song-2026-4/
Spikes Asia,2026,Direct,direct,CURFEW HOSTELS,TIGER BEER,LEPUB,Market Disruption,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/411966509f5c483ab9783935fb89948f?quality=85&format=webp,https://www.lovethework.com/work/entries/curfew-hostels-773034,/awards/spikes_asia/2026/campaigns/curfew-hostels-tiger-beer-lepub-2026-4/
Spikes Asia,2026,Direct,direct,HILTON HUSTLE WITHOUT HASSLE,HILTON HOTELS,TBWA\SINGAPORE,Use of Social Platforms,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/8baed512ea2a411d99ea50cc22872785?quality=85&format=webp,https://www.lovethework.com/work/entries/hilton-hustle-without-hassle-773015,/awards/spikes_asia/2026/campaigns/hilton-hustle-without-hassle-hilton-hotels-tbwasingapore-2026/
Spikes Asia,2026,Direct,direct,THE KILOMETER LOYALTY EXCHANGE,HONDA,TU7UH CREATIVE LAB,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/05753c1e7ab34888aff8b76b310a0e0b/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/the-kilometer-loyalty-exchange-769666,/awards/spikes_asia/2026/campaigns/the-kilometer-loyalty-exchange-honda-tu7uh-creative-lab-2026-2/
Spikes Asia,2026,Direct,direct,BEST AFTER 2055,TAKAMATSU CITY,SHISEIDO CREATIVE,Cultural Engagement,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/fe2abe1fa4ad48898f91c095aac86250?quality=85&format=webp,https://www.lovethework.com/work/entries/best-after-2055-769725,/awards/spikes_asia/2026/campaigns/best-after-2055-takamatsu-city-shiseido-creative-2026-4/
Spikes Asia,2026,Direct,direct,SKINNY FOR LIFE,SKINNY,COLENSO BBDO,New Realities & Emerging Tech,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/c09ad0c19770401cb05879c3ea02aecd?quality=85&format=webp,https://www.lovethework.com/work/entries/skinny-for-life-771413,/awards/spikes_asia/2026/campaigns/skinny-for-life-skinny-colenso-bbdo-2026-2/
Spikes Asia,2026,Direct,direct,THE NAGA SAINT EYE TEST,EYEBETES FOUNDATION,GODREJ CREATIVE LAB,Single-market Campaign,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/8ccb115332db4b298d72aa9ae698ed64?quality=85&format=webp,https://www.lovethework.com/work/entries/the-naga-saint-eye-test-769760,/awards/spikes_asia/2026/campaigns/the-naga-saint-eye-test-eyebetes-foundation-godrej-creative-lab-2026-3/
Spikes Asia,2026,Direct,direct,"STOP DRINK, STACK THE DREAM",THAI HEALTH PROMOTION FOUNDATION,DENTSU CREATIVE THAILAND,Co-Creation & User-Generated Content,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/7fe045ee95b0473f8e650a8a5e9c1a2f?quality=85&format=webp,https://www.lovethework.com/work/entries/stop-drink-stack-the-dream-772609,/awards/spikes_asia/2026/campaigns/stop-drink-stack-the-dream-thai-health-promotion-foundation-dentsu-creative-thailand-2026/
