Festival,Year,Track,Title,Brand,Agency,Category,Country,Award,Permalink
El Ojo de Iberoamerica,2025,PR,Andalucia out of office,Junta de Andalucia de Turismo y Deportes de Andalucia,Ernest (España),Campañas de bajo presupuesto,España,Shortlist,/awards/el_ojo/2025/campaigns/andalucia-out-of-office-junta-de-andalucia-de-turismo-y-deportes-de-andalucia-ernest-espana-2025/
El Ojo de Iberoamerica,2025,PR,Sorry Alex,Junta de Andalucia de Turismo y Deportes de Andalucia,Ernest (España),Mercado especifico,España,Shortlist,/awards/el_ojo/2025/campaigns/sorry-alex-junta-de-andalucia-de-turismo-y-deportes-de-andalucia-ernest-espana-2025/
El Ojo de Iberoamerica,2025,PR,Carteles de aluminio,JupiterPublicartel de Jupiter,From (Uruguay),Formatos no convencionales,Uruguay,Shortlist,/awards/el_ojo/2025/campaigns/carteles-de-aluminio-jupiterpublicartel-de-jupiter-from-uruguay-2025-3/
El Ojo de Iberoamerica,2025,PR,Carteles de aluminio,JupiterPublicartel de Jupiter,From (Uruguay),Mercado especifico,Uruguay,Shortlist,/awards/el_ojo/2025/campaigns/carteles-de-aluminio-jupiterpublicartel-de-jupiter-from-uruguay-2025-4/
El Ojo de Iberoamerica,2025,PR,El post del A-pollo,KFC de KFC Colombia,MullenLowe SSP3 Colombia,Acciones en plataformas digitales y sociales,Colombia,Shortlist,/awards/el_ojo/2025/campaigns/el-post-del-a-pollo-kfc-de-kfc-colombia-mullenlowe-ssp3-colombia-2025/
El Ojo de Iberoamerica,2025,PR,El post del A-pollo,KFC de KFC Colombia,MullenLowe SSP3 Colombia,Acciones en tiempo real,Colombia,Shortlist,/awards/el_ojo/2025/campaigns/el-post-del-a-pollo-kfc-de-kfc-colombia-mullenlowe-ssp3-colombia-2025-2/
El Ojo de Iberoamerica,2025,PR,El post del A-pollo,KFC de KFC Colombia,MullenLowe SSP3 Colombia,Gestion de comunidad,Colombia,Shortlist,/awards/el_ojo/2025/campaigns/el-post-del-a-pollo-kfc-de-kfc-colombia-mullenlowe-ssp3-colombia-2025-3/
El Ojo de Iberoamerica,2025,PR,El post del A-pollo,KFC de KFC Colombia,MullenLowe SSP3 Colombia,Respuesta en tiempo real,Colombia,Shortlist,/awards/el_ojo/2025/campaigns/el-post-del-a-pollo-kfc-de-kfc-colombia-mullenlowe-ssp3-colombia-2025-4/
El Ojo de Iberoamerica,2025,PR,Bouillon bag,Knorr de Unilever Global,MullenLowe Global,Productos y Servicios,Estados Unidos,Shortlist,/awards/el_ojo/2025/campaigns/bouillon-bag-knorr-de-unilever-global-mullenlowe-global-2025-3/
El Ojo de Iberoamerica,2025,PR,Green flag,Knorr de Unilever Global,MullenLowe Global,Mejor uso de datos en redes sociales,Estados Unidos,Shortlist,/awards/el_ojo/2025/campaigns/green-flag-knorr-de-unilever-global-mullenlowe-global-2025-2/
El Ojo de Iberoamerica,2025,PR,Deliver better,Knorr de Unilever Global,MullenLowe Global,Alimentos y Bebidas,Estados Unidos,Shortlist,/awards/el_ojo/2025/campaigns/deliver-better-knorr-de-unilever-global-mullenlowe-global-2025-2/
El Ojo de Iberoamerica,2025,PR,Deliver better,Knorr de Unilever Global,MullenLowe Global,Co-creacion de contenidos generados por el usuario,Estados Unidos,Shortlist,/awards/el_ojo/2025/campaigns/deliver-better-knorr-de-unilever-global-mullenlowe-global-2025-3/
El Ojo de Iberoamerica,2025,PR,Green flag,Knorr de Unilever Global,MullenLowe Global,Estrategia social,Estados Unidos,Shortlist,/awards/el_ojo/2025/campaigns/green-flag-knorr-de-unilever-global-mullenlowe-global-2025-3/
El Ojo de Iberoamerica,2025,PR,Voice 2 diabetes,KVI Brave Fund de KVI Brave Fund INC,Klick Health Brasil,Tecnologia,Estados Unidos,Shortlist,/awards/el_ojo/2025/campaigns/voice-2-diabetes-kvi-brave-fund-de-kvi-brave-fund-inc-klick-health-brasil-2025/
El Ojo de Iberoamerica,2025,PR,See through banners,L1 Max de 1190 Sports,Leo Lima (Peru),Productos y Servicios,Peru,Shortlist,/awards/el_ojo/2025/campaigns/see-through-banners-l1-max-de-1190-sports-leo-lima-peru-2025-2/
El Ojo de Iberoamerica,2025,PR,Discourse verifier,La Comunidad Decide de Radio Television Popular,Nexus BBDO (Bolivia),Uso de datos en tiempo real,Bolivia,Shortlist,/awards/el_ojo/2025/campaigns/discourse-verifier-la-comunidad-decide-de-radio-television-popular-nexus-bbdo-bolivia-2025/
El Ojo de Iberoamerica,2025,PR,The trial,Lingokids de Lingokids,Piel Creative Studio,Branded Content,Estados Unidos,Shortlist,/awards/el_ojo/2025/campaigns/the-trial-lingokids-de-lingokids-piel-creative-studio-2025-3/
El Ojo de Iberoamerica,2025,PR,La licencia por maternidad no es solo pausa. Es crecimiento.,Linkedin de LinkedIn Brasil,R/GA Brasil,Acciones en plataformas digitales y sociales,Brasil,Shortlist,/awards/el_ojo/2025/campaigns/la-licencia-por-maternidad-no-es-solo-pausa-es-crecimiento-linkedin-de-linkedin-brasil-rga-brasil-2025-2/
El Ojo de Iberoamerica,2025,PR,Hijos de la dictadura,Madre e Hijos del Silencio de Madres e Hijos del Silencio,Cheil Chile,Bien publico y mensajes gubernamentales,Chile,Shortlist,/awards/el_ojo/2025/campaigns/hijos-de-la-dictadura-madre-e-hijos-del-silencio-de-madres-e-hijos-del-silencio-cheil-chile-2025-4/
El Ojo de Iberoamerica,2025,PR,Hijos de la dictadura,Madre e Hijos del Silencio de Madres e Hijos del Silencio,Cheil Chile ,Bien publico y mensajes gubernamentales,Chile,Shortlist,/awards/el_ojo/2025/campaigns/hijos-de-la-dictadura-madre-e-hijos-del-silencio-de-madres-e-hijos-del-silencio-cheil-chile-2025-5/
El Ojo de Iberoamerica,2025,PR,Hijos de la dictadura,Madre e Hijos del Silencio de Madres e Hijos del Silencio,Cheil Chile,Ideas de Bien Publico,Chile,Shortlist,/awards/el_ojo/2025/campaigns/hijos-de-la-dictadura-madre-e-hijos-del-silencio-de-madres-e-hijos-del-silencio-cheil-chile-2025-6/
El Ojo de Iberoamerica,2025,PR,Avatars of hope,MÃ£es da Se de MÃ£es da Se,Druid Creative Gaming Brasil (Brasil),Nuevas realidades y tecnologias emergentes,Brasil,Shortlist,/awards/el_ojo/2025/campaigns/avatars-of-hope-maes-da-se-de-maes-da-se-druid-creative-gaming-brasil-brasil-2025-2/
El Ojo de Iberoamerica,2025,PR,Bald faces,Mami Wata de Mami Wata,Artplan (Brasil),Productos,Brasil,Shortlist,/awards/el_ojo/2025/campaigns/bald-faces-mami-wata-de-mami-wata-artplan-brasil-2025-2/
El Ojo de Iberoamerica,2025,PR,Makeup payment,Mastercard de Mastercard Brasil,MRM Brasil,Experiencia del usuario,Brasil,Shortlist,/awards/el_ojo/2025/campaigns/makeup-payment-mastercard-de-mastercard-brasil-mrm-brasil-2025-2/
El Ojo de Iberoamerica,2025,PR,Makeup payment,Mastercard de Mastercard Brasil,MRM Brasil,Experiencia y estrategia de marca,Brasil,Shortlist,/awards/el_ojo/2025/campaigns/makeup-payment-mastercard-de-mastercard-brasil-mrm-brasil-2025-3/
El Ojo de Iberoamerica,2025,PR,Salsa Big Mac,McDonalds de McDonaldâ€™s España,TBWA\ España OMD (España),Estrategia y fidelizacion de marca,España,Shortlist,/awards/el_ojo/2025/campaigns/salsa-big-mac-mcdonalds-de-mcdonaldas-espana-tbwa-espana-omd-espana-2025/
El Ojo de Iberoamerica,2025,PR,Found in translation,Medalla Light de Compañia Cervecera de Puerto Rico,DDB Latina Puerto Rico (Puerto Rico),Alimentos y Bebidas,Estados Unidos,Shortlist,/awards/el_ojo/2025/campaigns/found-in-translation-medalla-light-de-compania-cervecera-de-puerto-rico-ddb-latina-puerto-rico-puerto-rico-2025-2/
El Ojo de Iberoamerica,2025,PR,Found in translation,Medalla Light de Compañia Cervecera de Puerto Rico,DDB Latina Puerto Rico (Puerto Rico),Gestion de comunidad,Estados Unidos,Shortlist,/awards/el_ojo/2025/campaigns/found-in-translation-medalla-light-de-compania-cervecera-de-puerto-rico-ddb-latina-puerto-rico-puerto-rico-2025-3/
El Ojo de Iberoamerica,2025,PR,Found in translation,Medalla Light de Compañia Cervecera de Puerto Rico,DDB Latina Puerto Rico,Estrategia social,Estados Unidos,Shortlist,/awards/el_ojo/2025/campaigns/found-in-translation-medalla-light-de-compania-cervecera-de-puerto-rico-ddb-latina-puerto-rico-2025-3/
El Ojo de Iberoamerica,2025,PR,Sneaker Cam,Mercado Libre Moda de Mercado Libre Chile,Monks (Argentina),Uso innovador de las plataformas sociales,Chile,Shortlist,/awards/el_ojo/2025/campaigns/sneaker-cam-mercado-libre-moda-de-mercado-libre-chile-monks-argentina-2025/
El Ojo de Iberoamerica,2025,PR,Sneaker Cam,Mercado Libre Moda de Mercado Libre Chile,Monks (Argentina),Influencer & Creator,Chile,Shortlist,/awards/el_ojo/2025/campaigns/sneaker-cam-mercado-libre-moda-de-mercado-libre-chile-monks-argentina-2025-2/
El Ojo de Iberoamerica,2025,PR,Braided history,Mizani de Lâ€™Oreal Caribe,DDB Latina Puerto Rico,Excelencia en las RR.PP.,Puerto Rico,Shortlist,/awards/el_ojo/2025/campaigns/braided-history-mizani-de-laoreal-caribe-ddb-latina-puerto-rico-2025/
