Festival,Year,Track,Category,Agency,Network,Holding,Title,Country,Company,Brand,Product,Producer,Award,Permalink
FIAP,2024,Formatos,Social Content,Mullenlowe Delta,MullenLowe Group,IPG,PilsEnner,Ecuador,AB InBev,Pilsener,Pilsener,MullenLowe Delta,BRONCE,/awards/fiap/2024/campaigns/pilsenner-pilsener-mullenlowe-delta-2024/
FIAP,2024,Innovacion,Estudiantes,Bendita Carpeta,,,Heinz lycopene makeup,Chile,HEINZ,HEINZ,HEINZ Lycopene Makeup,,SHORTLIST,/awards/fiap/2024/campaigns/heinz-lycopene-makeup-heinz-bendita-carpeta-2024/
FIAP,2024,Innovacion,Estudiantes,Miami Ad School Mexico,,,Sounds Of Nature,Mexico,Spotify,Spotify,Spotify,,SHORTLIST,/awards/fiap/2024/campaigns/sounds-of-nature-spotify-miami-ad-school-mexico-2024/
FIAP,2024,Innovacion,Innovacion en Activaciones,Joystick FIFCO,Independientes,Independientes,Bailesco,Costa Rica,FIFCO,Bamboo,Bamboo,Kaiju Creators,SHORTLIST,/awards/fiap/2024/campaigns/bailesco-bamboo-joystick-fifco-2024/
FIAP,2024,Innovacion,Innovacion en Activaciones,Buentipo Anchor,Independientes,Independientes,Beer Card,Colombia,AB InBev,Club Colombia,Club Colombia,Macarena,SHORTLIST,/awards/fiap/2024/campaigns/beer-card-club-colombia-buentipo-anchor-2024-2/
FIAP,2024,Innovacion,Innovacion en Activaciones,El Taier DDB Centro,DDB Worldwide,Omnicom,Corona River of Change,Guatemala,Corona,Corona,Corona,Corona Studios - Antoine Janseen,SHORTLIST,/awards/fiap/2024/campaigns/corona-river-of-change-corona-el-taier-ddb-centro-2024-2/
FIAP,2024,Produccion,Bajo costo de produccion,Fosbury Latam,Grupo P,Grupo P,aDOGtion Posters,Peru,Agrovet,Atrevia,Tabletas Masticables Antipulgas,Fosbury,SHORTLIST,/awards/fiap/2024/campaigns/adogtion-posters-atrevia-fosbury-latam-2024/
FIAP,2024,Innovacion,Innovacion en Eventos-Experiencia,Joystick FIFCO,Independientes,Independientes,Bailesco,Costa Rica,FIFCO,Bamboo,Bamboo,Kaiju Creators,SHORTLIST,/awards/fiap/2024/campaigns/bailesco-bamboo-joystick-fifco-2024-2/
FIAP,2024,Innovacion,Innovacion en Eventos-Experiencia,Lupe,Grupo Texo,Grupo Texo,El asadito mas largo,Paraguay,AmBev,Pilsen,Cerveza,El Bagre,SHORTLIST,/awards/fiap/2024/campaigns/el-asadito-mas-largo-pilsen-lupe-2024/
FIAP,2024,Innovacion,Innovacion en Eventos-Experiencia,Globant Gut,Gut,Globant,Pringles Diamond,Mexico,kellanova,Pringles,Pringles,Gato,SHORTLIST,/awards/fiap/2024/campaigns/pringles-diamond-pringles-globant-gut-2024/
FIAP,2024,Innovacion,Innovacion en Gaming y Entretenimiento,Republica Digital,Independientes,Independientes,Upside Down Island ft Fornite,Mexico,American Dairy Queen,Dairy Queen Mexico,Helados,Woznics,SHORTLIST,/awards/fiap/2024/campaigns/upside-down-island-ft-fornite-dairy-queen-mexico-republica-digital-2024-2/
FIAP,2024,Innovacion,Innovacion en Marketing Directo,Buentipo Anchor,Independientes,Independientes,Beer Card,Colombia,AB InBev,Club Colombia,Club Colombia,Macarena,SHORTLIST,/awards/fiap/2024/campaigns/beer-card-club-colombia-buentipo-anchor-2024-3/
FIAP,2024,Innovacion,Innovacion en Marketing Directo,MediaMonks,S4 Capital,S4 Capital,In the Zone,Argentina,Adidas - Mercado Libre,Adidas,Portafolio Adidas,MediaMonks,SHORTLIST,/awards/fiap/2024/campaigns/in-the-zone-adidas-mediamonks-2024/
FIAP,2024,Innovacion,Innovacion en Marketing Directo,Publicidad Comercial MullenLowe,MullenLowe Group,IPG,Manuales para Sobrevivir,El Salvador,Fundacion Humanos por Humanos,manualesparasobrevivirorg,manualesparasobrevivirorg,Simple Society- Garage Films,SHORTLIST,/awards/fiap/2024/campaigns/manuales-para-sobrevivir-manualesparasobrevivirorg-publicidad-comercial-mullenlowe-2024-6/
FIAP,2024,Innovacion,Innovacion en Marketing Directo,RosadoToledo,Independientes,Independientes,Ponlo en tu Calendario,Puerto Rico,Triple-S,Triple-S,Fundacion Triple-S,RosadoToledo Contactica,SHORTLIST,/awards/fiap/2024/campaigns/ponlo-en-tu-calendario-triple-s-rosadotoledo-2024/
FIAP,2024,Innovacion,Innovacion en Marketing Directo,El Taier DDB Centro,DDB Worldwide,Omnicom,Smart Legacy,Guatemala,If then Inc,Smart Legacy,Smart Legacy,Filmico - BBQ Media,SHORTLIST,/awards/fiap/2024/campaigns/smart-legacy-smart-legacy-el-taier-ddb-centro-2024-3/
FIAP,2024,Innovacion,Innovacion en Mobile,Fire Creative,Independientes,Independientes,Baby Rusi,Puerto Rico,Sonar Music Division de artistas emergentes de Rimas Music,Hades 66,AK Rusi,Fire Creative,SHORTLIST,/awards/fiap/2024/campaigns/baby-rusi-hades-66-fire-creative-2024/
FIAP,2024,Innovacion,Innovacion en Mobile,Mullenlowe Delta,MullenLowe Group,IPG,Drunken codes,Ecuador,AB InBev,TADA APP,Delivery de Bebidas frias,Pulpo,SHORTLIST,/awards/fiap/2024/campaigns/drunken-codes-tada-app-mullenlowe-delta-2024/
FIAP,2024,Innovacion,Innovacion en Mobile,MediaMonks,S4 Capital,S4 Capital,In the Zone,Argentina,Adidas - Mercado Libre,Adidas,Portafolio Adidas,MediaMonks,SHORTLIST,/awards/fiap/2024/campaigns/in-the-zone-adidas-mediamonks-2024-2/
