Festival,Year,Track,Category,Agency,Red,Holding,Title,Country,Company,Brand,Product,Productora,Award,Permalink
Fiap,2026,Formatos,Estudiantes,Miami Ad School,N/A,N/A,The Living Catalog,Argentina,Ikea,IKEA,Productos de hogar y camping,N/A,Shortlist,/awards/fiap/2026/campaigns/the-living-catalog-ikea-miami-ad-school-2026/
Fiap,2026,Anuncios,Televisión / Cine / Digital - Alimentos / Comidas / Bebidas Alcohólicas / No Alcohólicas,Joystick,N/A,N/A,Donde Pepe,Costa Rica,Heineken Costa Rica,Ducal,Ducal,Mango,Shortlist,/awards/fiap/2026/campaigns/donde-pepe-ducal-joystick-2026-5/
Fiap,2026,Anuncios,Mejor Uso de la Cultura Local,Joystick,N/A,N/A,Donde Pepe,Costa Rica,Heineken Costa Rica,Ducal,Ducal,Mango,Shortlist,/awards/fiap/2026/campaigns/donde-pepe-ducal-joystick-2026-6/
Fiap,2026,Anuncios,Comunicaciones para marcas regionales que se aventuran a conquistar el mundo - Nueva categoría,Joystick,N/A,N/A,Donde Pepe,Costa Rica,Heineken Costa Rica,Ducal,Ducal,Mango,Shortlist,/awards/fiap/2026/campaigns/donde-pepe-ducal-joystick-2026-7/
Fiap,2026,Producción,Técnicas de Producción Audiovisual - Dirección General,Joystick,N/A,N/A,Donde Pepe,Costa Rica,Heineken Costa Rica,Ducal,Ducal,Mango,Shortlist,/awards/fiap/2026/campaigns/donde-pepe-ducal-joystick-2026-8/
Fiap,2026,Formatos,Estudiantes,Redhook School,N/A,N/A,The Contract,Brasil,Verizon,Verizon,Verizon,N/A,Shortlist,/awards/fiap/2026/campaigns/the-contract-verizon-redhook-school-2026/
Fiap,2026,Formatos,Contenido con mejor estrategia digital,BBA,N/A,N/A,Community King,Ecuador,Burger King,Burger King,Burger King,Fabryca,Shortlist,/awards/fiap/2026/campaigns/community-king-burger-king-bba-2026/
Fiap,2026,Anuncios,Radio - Bien Público,Castillo de If,N/A,N/A,Lord of War,Guatemala,Fundación Remar,Fundación Remar,Fundación Remar,Castillo de If,Shortlist,/awards/fiap/2026/campaigns/lord-of-war-fundacion-remar-castillo-de-if-2026/
Fiap,2026,Innovación,Innovación en PR,BBDO,BBDO Worldwide,Omnicom,RelationChip,Portugal,The Portuguese Association for Victim Support (APAV),The Portuguese Association for Victim Support (APAV),Teen Dating Violence,Looks: Good,Shortlist,/awards/fiap/2026/campaigns/relationchip-the-portuguese-association-for-victim-support-apav-bbdo-2026/
Fiap,2026,Formatos,Advergaming,LUMO MEDIA LAB,Caracol Televisión,GRUPO Valorem,Mundo Caracol Kids,Colombia,Caracol Televisión,"Noticias Caracol, GOL Caracol, Desafío, Sábados Felices, DITU, La Reina del Flow",Mundo Caracol Kids en Roblox,Lumo Media LAB,Shortlist,/awards/fiap/2026/campaigns/mundo-caracol-kids-noticias-caracol-gol-caracol-desafio-sabados-felices-ditu-la-reina-del-flow-lumo-media-lab-2026/
Fiap,2026,Innovación,Innovación en Gaming y Entretenimiento,LUMO MEDIA LAB,Caracol Televisión,GRUPO Valorem,Mundo Caracol Kids,Colombia,Caracol Televisión,"Noticias Caracol, GOL Caracol, Desafío, Sábados Felices, DITU, La Reina del Flow",Mundo Caracol Kids en Roblox,Lumo Media LAB,Shortlist,/awards/fiap/2026/campaigns/mundo-caracol-kids-noticias-caracol-gol-caracol-desafio-sabados-felices-ditu-la-reina-del-flow-lumo-media-lab-2026-2/
Fiap,2026,Formatos,Mejor Campaña de Plataforma de Responsabilidad Social,BBDO,BBDO Worldwide,Omnicom,RelationChip,Portugal,The Portuguese Association for Victim Support (APAV),The Portuguese Association for Victim Support (APAV),Teen Dating Violence,Looks: Good,Shortlist,/awards/fiap/2026/campaigns/relationchip-the-portuguese-association-for-victim-support-apav-bbdo-2026-2/
Fiap,2026,Anuncios,Creatividad Efectiva - Bien Público,BBDO,BBDO Worldwide,Omnicom,RelationChip,Portugal,The Portuguese Association for Victim Support (APAV),The Portuguese Association for Victim Support (APAV),Teen Dating Violence,Looks: Good,Shortlist,/awards/fiap/2026/campaigns/relationchip-the-portuguese-association-for-victim-support-apav-bbdo-2026-3/
Fiap,2026,Anuncios,Transformación Social - ONG,BBDO,BBDO Worldwide,Omnicom,RelationChip,Portugal,The Portuguese Association for Victim Support (APAV),The Portuguese Association for Victim Support (APAV),Teen Dating Violence,Looks: Good,Shortlist,/awards/fiap/2026/campaigns/relationchip-the-portuguese-association-for-victim-support-apav-bbdo-2026-4/
Fiap,2026,Formatos,Estudiantes,Bendita Carpeta,N/A,N/A,WWE Home,Chile,Netflix & IKEA,Netflix & IKEA,Netflix & IKEA,N/A,Shortlist,/awards/fiap/2026/campaigns/wwe-home-netflix-and-ikea-bendita-carpeta-2026/
Fiap,2026,Anuncios,Radio - Servicios Públicos y Privados,Castillo de If,N/A,N/A,Listen. Repeat. Again.,Guatemala,Grupo La Ermita,Grupo La Ermita,Grupo La Ermita,Castillo de If,Shortlist,/awards/fiap/2026/campaigns/listen-repeat-again-grupo-la-ermita-castillo-de-if-2026/
