Festival,Year,Track,Category,Agency,Network,Holding,Title,Country,Brand,Producer,Award
FIAP,2023,Anuncios,Grafica - Medios de comunicacion - Publicaciones,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Oro
FIAP,2023,Anuncios,Mejor Uso de la Cultura Local,VMLYR Puerto Rico,VMLYR,WPP,Jingle Therapy,Puerto Rico,Asociacion de Alzheimer de PR,VMLYR inhouse,Oro
FIAP,2023,Anuncios,New Business-Nuevos Negocios,AlmapBBDO,BBDO Worldwide,OMNICOM,Eart4,Brasil,United Nations Global Compact B3 Stock Exchange,AlmapBBDO - RAW Audio,Oro
FIAP,2023,Anuncios,Radio - Campanas Productos - Servicios - Corporativas,Havas GURISA,Havas Creative,HAVAS,Podes comprarte una radio,Uruguay,Loterias y Quinielas del Uruguay,Cien Fuegos,Oro
FIAP,2023,Anuncios,Salud,VMLYR Puerto Rico,VMLYR,WPP,Jingle Therapy,Puerto Rico,Asociacion de Alzheimer de PR,VMLYR inhouse,Oro
FIAP,2023,Anuncios,Television - Cine - Digital - Alimentos - Comidas - Bebidas Alcoholicas - No Alcoholicas,This is Libre,Independientes,INDEPENDIENTE,La Herencia,Espana,Campofrio,La Joya Producciones,Oro
FIAP,2023,Anuncios,Transformacion Social,Dentsu Creative Argentina,Dentsu Group Inc,DENTSU GROUP,Scrolling Therapy,Argentina,Eurofarma,Dentsu Creative Brasil,Oro
FIAP,2023,Anuncios,Campanas Integrales,DON,Independientes,INDEPENDIENTE,Nombres mas simples,Argentina,Newsan SA,ORUGA,Plata
FIAP,2023,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,De La Cruz - Ogilvy,Ogilvy,WPP,Preparandonos para la epoca de huracanes con Eye Tracker,Puerto Rico,SuperMax,MakeSystems,Plata
FIAP,2023,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,De La Cruz - Ogilvy,Ogilvy,WPP,Disfrazandonos para hacer parte de Halloween,Puerto Rico,Burger King Puerto Rico,Blue Room,Plata
FIAP,2023,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,BESO by LLYC,Independientes,INDEPENDIENTE,Sopa de Senas,Mexico,Grupo La Moderna,Resident Films,Plata
FIAP,2023,Anuncios,Grafica - Alimentos - Comidas - Bebidas Alcoholicas - No Alcoholicas,Alma,DDB Worldwide,OMNICOM,Explosions,EE UU,Molson Coors Beverage Company,Billups,Plata
FIAP,2023,Anuncios,Grafica - Campanas Productos - Servicios - Corporativas,Alma,DDB Worldwide,OMNICOM,Explosions,EE UU,Molson Coors Beverage Company,Billups,Plata
FIAP,2023,Anuncios,Grafica - Medios de comunicacion - Publicaciones,Alma,DDB Worldwide,OMNICOM,Explosions,EE UU,Molson Coors Beverage Company,Billups,Plata
FIAP,2023,Anuncios,Mejor Diseno,Buentipo Anchor,Independientes,INDEPENDIENTE,Club Colombia Eterno - Una Historia Nonuya,Colombia,AB InBev Colombia - Bavaria,BTFilms,Plata
FIAP,2023,Anuncios,Mejor Estrategia - Planeacion,NU,Independientes,INDEPENDIENTE,Preguntale a alguien con Nu,Mexico,NU,Stink Mexico,Plata
FIAP,2023,Anuncios,Mejor Estrategia - Planeacion,VALOR SOCIOS DE MARCAS,Independientes,INDEPENDIENTE,La Mancha,Peru,Kimberly-Clark,KaO Films Content,Plata
FIAP,2023,Anuncios,Mejor Uso de la Cultura Local,WMcCann,McCann Worldgroup,IPG,Harassment Advisory,Brasil,LOreal Paris,Craft Brasil,Plata
