Award,Entrant,Entrant City,Country,Track,Category,Brand,Title,Corporate Name of Client,Agency,Agency City,Permalink
Finalist,DAVID,Miami,UNITED STATES,Billboard,Beverages Campaign,Corona - Corona Eclipse,Uruguay Brazil Argentina,AB INBEV,DAVID,Miami,/awards/lia_awards/2025/campaigns/uruguay-brazil-argentina-corona-corona-eclipse-david-2025-5/
Finalist,DAVID New York,New York,UNITED STATES,Branded Content,Multi-Channel Storytelling,Clash of Clans,Clash the WWE,Supercell,DAVID New York,New York,/awards/lia_awards/2025/campaigns/clash-the-wwe-clash-of-clans-david-new-york-2025-2/
Finalist,Dentsu Creative US,Chicago,UNITED STATES,Branded Content,Use of Social Media,Oreo,Oreo Empire,Mondelez International,Dentsu Creative US,Chicago,/awards/lia_awards/2025/campaigns/oreo-empire-oreo-dentsu-creative-us-2025/
Finalist,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Branded Content,Scripted Short Film,Apple,Submerged,Apple,TBWA-Media Arts Lab,Los Angeles,/awards/lia_awards/2025/campaigns/submerged-apple-tbwa-media-arts-lab-2025-5/
Finalist,Energy BBDO,Chicago,UNITED STATES,Branded Entertainment,Creative Use of Data,Change The Ref,The Final Exam,Change The Ref,Energy BBDO,Chicago,/awards/lia_awards/2025/campaigns/the-final-exam-change-the-ref-energy-bbdo-2025-7/
Finalist,Energy BBDO,Chicago,UNITED STATES,Branded Entertainment,Gaming,Change The Ref,The Final Exam,Change The Ref,Energy BBDO,Chicago,/awards/lia_awards/2025/campaigns/the-final-exam-change-the-ref-energy-bbdo-2025-8/
Finalist,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Branded Entertainment,Scripted Short Film,Apple,Someday,Apple,TBWA-Media Arts Lab,Los Angeles,/awards/lia_awards/2025/campaigns/someday-apple-tbwa-media-arts-lab-2025-3/
Finalist,FCB Health New York an IPG Health Company,New York,UNITED STATES,Creative Strategy,Customer Targeting,Sanofi,Badge of Honor,Sanofi,FCB Health New York an IPG Health Company,New York,/awards/lia_awards/2025/campaigns/badge-of-honor-sanofi-fcb-health-new-york-an-ipg-health-company-2025/
Finalist,Area 23 an IPG Health Company,New York,UNITED STATES,Creative Use of Data,Data Collection and Research,Equality Health Foundation,Zip Code Exam,Equality Health Foundation,Area 23 an IPG Health Company,New York,/awards/lia_awards/2025/campaigns/zip-code-exam-equality-health-foundation-area-23-an-ipg-health-company-2025-5/
Finalist,GREY,New York,UNITED STATES,Creative Use of Data,Data-Led Creativity,Angel Soft,Pottytunities,Georgia Pacific Llc,GREY,New York,/awards/lia_awards/2025/campaigns/pottytunities-angel-soft-grey-2025-2/
Finalist,Area 23 an IPG Health Company,New York,UNITED STATES,Creativity In Media,Non-Profit,Equality Health Foundation,Zip Code Exam,Equality Health Foundation,Area 23 an IPG Health Company,New York,/awards/lia_awards/2025/campaigns/zip-code-exam-equality-health-foundation-area-23-an-ipg-health-company-2025-6/
Finalist,VML,Dallas,UNITED STATES,Creativity In Media,Use of Digital Social and Gaming Platforms,US Navy,Navy SubReddit Hunt,US Navy,VML,Dallas,/awards/lia_awards/2025/campaigns/navy-subreddit-hunt-us-navy-vml-2025/
Finalist,DAVID,Miami,UNITED STATES,Design,Craft Photography Campaign,Corona - Corona Eclipse,Uruguay Brazil Argentina,AB INBEV,DAVID,Miami,/awards/lia_awards/2025/campaigns/uruguay-brazil-argentina-corona-corona-eclipse-david-2025-6/
Finalist,FCB Health New York an IPG Health Company,New York,UNITED STATES,Design,Craft Art Direction,SAFE Project,The Snowball,SAFE Project,FCB Health New York an IPG Health Company,New York,/awards/lia_awards/2025/campaigns/the-snowball-safe-project-fcb-health-new-york-an-ipg-health-company-2025-2/
Finalist,LC,New York,UNITED STATES,Design,Brand-Corporate ID,Tiffany Co,1837 Tiffany Blue Conservation,Tiffany Co,LC,New York City,/awards/lia_awards/2025/campaigns/1837-tiffany-blue-conservation-tiffany-co-lc-2025/
Finalist,McCann NY,New York,UNITED STATES,Design,Creativity on a Budget,Last Prisoner Project,The Pen to Right History,Last Prisoner Project,McCann NY,New York,/awards/lia_awards/2025/campaigns/the-pen-to-right-history-last-prisoner-project-mccann-ny-2025-2/
Finalist,TBWA-CHIAT-DAY,Los Angeles,UNITED STATES,Design,Rebrand,CANJA Audio Culture,Branding by Stereo,CANJA Audio Culture,TBWA-Chiat-Day LA,Los Angeles,/awards/lia_awards/2025/campaigns/branding-by-stereo-canja-audio-culture-tbwa-chiat-day-la-2025/
Finalist,Energy BBDO,Chicago,UNITED STATES,Evolution,Gaming,Change The Ref,The Final Exam,Change The Ref,Energy BBDO,Chicago,/awards/lia_awards/2025/campaigns/the-final-exam-change-the-ref-energy-bbdo-2025-9/
Finalist,Barking Owl,Los Angeles,UNITED STATES,Music Sound,Original Music with Lyrics,MGA Entertainment,Diss-Mas,MGA Entertainment,VIRTUE Worldwide,New York,/awards/lia_awards/2025/campaigns/diss-mas-mga-entertainment-virtue-worldwide-2025/
Finalist,VML,Kansas City,UNITED STATES,Music Sound,Experiential Use of Music Sound,Tennessee Department of Tourist Development,Tennessee Sound Sites,Tennessee Department of Tourist Development,VML,Kansas City,/awards/lia_awards/2025/campaigns/tennessee-sound-sites-tennessee-department-of-tourist-development-vml-2025/
Finalist,Artists Equity,Los Angeles,UNITED STATES,Online Film,Humor,Stella Artois,David and Dave,Stella Artois,Artists Equity,Los Angeles,/awards/lia_awards/2025/campaigns/david-and-dave-stella-artois-artists-equity-2025/
Finalist,Ogilvy New York,New York,UNITED STATES,Online Film,Zeitgeist Campaign,Stella Artois - Hiders Keepers,Birthday Party Dinner Game Day Carousel,AB inBev,Ogilvy,New York,/awards/lia_awards/2025/campaigns/birthday-party-dinner-game-day-carousel-stella-artois-hiders-keepers-ogilvy-2025/
Finalist,DAVID,Miami,UNITED STATES,Poster,Beverages Campaign,Corona - Corona Eclipse,Uruguay Brazil Argentina,AB INBEV,DAVID,Miami,/awards/lia_awards/2025/campaigns/uruguay-brazil-argentina-corona-corona-eclipse-david-2025-7/
Finalist,VML,New York,UNITED STATES,Poster,Craft Art Direction Campaign,The Coca-Cola Company,CLASSIC - 1 CLASSIC - 2,The Coca-Cola Company,VML,New York,/awards/lia_awards/2025/campaigns/classic-1-classic-2-the-coca-cola-company-vml-2025-2/
Finalist,VML,New York,UNITED STATES,Print,Craft Art Direction Campaign,The Coca-Cola Company,CLASSIC - 1 CLASSIC - 2,The Coca-Cola Company,VML,New York,/awards/lia_awards/2025/campaigns/classic-1-classic-2-the-coca-cola-company-vml-2025-3/
Finalist,Area 23 an IPG Health Company,New York,UNITED STATES,Production Post-Production,Stop-Frame Animation,Advocacy For Ethical Egg Production and Humane Treatment of Chickens,Cracked,Mercy for Animals,Area 23 an IPG Health Company,New York,/awards/lia_awards/2025/campaigns/cracked-advocacy-for-ethical-egg-production-and-humane-treatment-of-chickens-area-23-an-ipg-health-company-2025/
Finalist,Biscuit Filmworks,Los Angeles,UNITED STATES,Production Post-Production,Production Design,Squarespace,A Tale As Old As Websites,Squarespace,,,/awards/lia_awards/2025/campaigns/a-tale-as-old-as-websites-squarespace-2025-2/
Finalist,JAMM Visual,Culver City,UNITED STATES,Production Post-Production,CGI Animation,Amazon x Hyundai,Add to Cart,Amazon x Hyundai,Innocean,,/awards/lia_awards/2025/campaigns/add-to-cart-amazon-x-hyundai-innocean-2025/
Finalist,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Production Post-Production,Visual Effects,Apple,No Sweat,Apple,TBWA-Media Arts Lab,Los Angeles,/awards/lia_awards/2025/campaigns/no-sweat-apple-tbwa-media-arts-lab-2025/
Finalist,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,TV Cinema,Technology Tech Equipment,Apple,Heartstrings,Apple,TBWA-Media Arts Lab,Los Angeles,/awards/lia_awards/2025/campaigns/heartstrings-apple-tbwa-media-arts-lab-2025/
