Award,Entrant,Entrant City,Country,Track,Category,Brand,Title,Corporate Name of Client,Agency,Agency City
Silver,DDB Group Italy,Milan,ITALY,Package Design,Limited-Special Editions,Bennet,Good To Read Packs,Bennet,DDB Group Italy,Milano
Silver,Dentsu Inc,Tokyo,JAPAN,Design,Not-for-Profit,VISIONGRAM,,Japan Blind Judo Federation,Dentsu Inc,Tokyo
Silver,Cloud8 Inc,Tokyo,JAPAN,Package Design,Liquors Wines,KUBOTA GIN,,Asahi-Shuzo Sake Brewing Co Ltd,,
Silver,GForce Grey,Almaty,KAZAKHSTAN,Creative Use of Data,Real-Time Data,Citix,Saltanat Light,Citix,GForce Grey,Almaty
Silver,INNOCEAN,Seoul,KOREA,Branded Entertainment,Scripted Short Film,IONIQ,Night Fishing,Hyundai Motor Company,INNOCEAN,Seoul
Silver,INNOCEAN,Seoul,KOREA,Creative Strategy,Branded Entertainment,IONIQ,Night Fishing,Hyundai Motor Company,INNOCEAN,Seoul
Silver,INNOCEAN,Seoul,KOREA,Design,Public Service-Charity-NGO,Iljuk Bathhouse,Life-Saving Bathhouse,Anseong City,INNOCEAN,Seoul
Silver,LePub Mexico City,Mexico City,MEXICO,Ambient Activation,Beverages,Tecate Light,Gulf of Mexico Bar,Heineken Group,LePub Mexico City,Mexico City
Silver,Grey Mexico,Mexico City,MEXICO,Branded Content,Scripted Short Film,Newspaper la Union y Articulo 19,The Shooting,Newspaper la Union y Articulo 19,Grey Mexico,Mexico City
Silver,Havas HOY,Mexico City,MEXICO,Creative Strategy,Contextual Insight,Volaris Airlines,W1NG COD3S,Volaris Airlines,Havas HOY,Mexico City
Silver,Havas HOY,Mexico City,MEXICO,Creativity In Media,Use of Ambient Media,Volaris Airlines,W1NG COD3S,Volaris Airlines,Havas HOY,Mexico City
Silver,LePub Mexico City,Mexico City,MEXICO,Creativity In Media,Use of Ambient Media,Tecate Light,Gulf of Mexico Bar,Heineken Group,LePub Mexico City,Mexico City
Silver,LePub Mexico City,Mexico City,MEXICO,Evolution,Experiential-Live Events,Tecate Light,Gulf of Mexico Bar,Heineken Group,LePub Mexico City,Mexico City
Silver,Grey Mexico,Mexico City,MEXICO,Production Post-Production,Editing,Newspaper la Union y Articulo 19,The Shooting,Newspaper la Union y Articulo 19,Grey Mexico,Mexico City
Silver,GIGIL,Manila,PHILIPPINES,Branded Content,Creativity on a Budget,Mandaue Foam Home Store,Steal,Mandaue Foam Home Store,GIGIL,Manila
Silver,BigTime Creative Shop,Riyadh,SAUDI ARABIA,Music Sound,Use of Licensed Music,General Entertainment Authority,Everything or Nothing,General Entertainment Authority,BigTime Creative Shop,Riyadh
Silver,BigTime Creative Shop,Riyadh,SAUDI ARABIA,Production Post-Production,Cinematography,General Entertainment Authority,Everything or Nothing,General Entertainment Authority,BigTime Creative Shop,Riyadh
Silver,BigTime Creative Shop,Riyadh,SAUDI ARABIA,Production Post-Production,Direction,General Entertainment Authority,Everything or Nothing,General Entertainment Authority,BigTime Creative Shop,Riyadh
Silver,Havas Creative,,SPAIN,Ambient Activation,Corporate Purpose-Social Responsibility,Atletico de Madrid - AFEAM,Marino Uriel The unforgettable Legend,Atletico de Madrid - AFEAM,Havas Creative,Spain
Silver,DAVID,Madrid,SPAIN,Creative Strategy,Real-Time Marketing,Netflix,Alcaraz Tattoo Reveal,Netflix Spain,DAVID,Madrid
Silver,DAVID,Madrid,SPAIN,Creativity In Media,Corporate Purpose-Social Responsibility,JCDecaux,Still Open,JCDecaux Spain,DAVID,Madrid
Silver,DAVID,Madrid,SPAIN,Creativity In Media,Use of Outdoor,JCDecaux,Still Open,JCDecaux Spain,DAVID,Madrid
Silver,David,Madrid,SPAIN,Poster,Beverages Campaign,Coca-Cola,Mimi Awning El Campo Awning Prado Awning,The Coca-Cola Company,DAVID,Madrid
Silver,BBDO Bangkok,Bangkok,THAILAND,Online Film,Retail Campaign,Club 21 Thailand,Liar Mad Lover No Manner,CLUB 21 THAILAND CO LTD,BBDO Bangkok,Bangkok
Silver,Saatchi Saatchi ME,Dubai,UNITED ARAB EMIRATES,Design,Editorial Design,Nana,Ruby Blooms,Essity Nana,Saatchi Saatchi ME,Dubai
Silver,Leo Dubai,Dubai,UNITED ARAB EMIRATES,Poster,Craft Art Direction Campaign,NBA India - The Great Indian Dunk,Jordan 23 Kobe 08 Lebron 06 Shaq 34,NBA,Leo Dubai,Dubai
Silver,Leo Dubai,Dubai,UNITED ARAB EMIRATES,Poster,Sports Campaign,NBA India - The Great Indian Dunk,Jordan 23 Kobe 08 Lebron 06 Shaq 34,NBA,Leo Dubai,Dubai
Silver,Leo Dubai,Dubai,UNITED ARAB EMIRATES,Print,Craft Art Direction Campaign,NBA India - The Great Indian Dunk,Jordan 23 Kobe 08 Lebron 06 Shaq 34,NBA,Leo Dubai,Dubai
Silver,Leo Dubai,Dubai,UNITED ARAB EMIRATES,Print,Sports Campaign,NBA India - The Great Indian Dunk,Jordan 23 Kobe 08 Lebron 06 Shaq 34,NBA,Leo Dubai,Dubai
Silver,Ogilvy UK,London,UNITED KINGDOM,Ambient Activation,Best Use of Real Time Advertising,Hellmanns,Club Classic,Unilever,Ogilvy UK,London
Silver,Havas Lynx,Manchester,UNITED KINGDOM,Evolution,Product Innovation,Nutri Ice,Creamotherapy,My Doctors Recipe,Havas Lynx,Manchester
Silver,750mph,London,UNITED KINGDOM,Music Sound,Sound Design,Riyadh Season,Call Of The Kings,Riyadh Season,BigTime Creative Shop,Riyadh
Silver,VCCP,London,UNITED KINGDOM,Package Design,Limited-Special Editions,Cadbury Dairy Milk,Made to Share,Mondelz International,VCCP,London
Silver,21Grams,London,UNITED KINGDOM,Production Post-Production,CGI Animation,Covid Awareness,Covidball,AstraZeneca,21Grams,London
Silver,AMVBBDO,London,UNITED KINGDOM,Production Post-Production,Direction,Essity-Bodyform,Never Just a Period,Essity Bodyform,AMVBBDO,London
Silver,AMVBBDO,London,UNITED KINGDOM,Production Post-Production,Production Design,Essity-Bodyform,Never Just a Period,Essity Bodyform,AMVBBDO,London
Silver,Biscuit Filmworks,London,UNITED KINGDOM,Production Post-Production,Direction,Channel 4,Paris Paralympics 2024 Considering What,Channel 4,4creative,London
Silver,VCCP,London,UNITED KINGDOM,Production Post-Production,2D Animation,Co-op,Owned By You Right By You,Co-op,VCCP,London
Silver,Energy BBDO,Chicago,UNITED STATES,Ambient Activation,Public Service-Charity-NGO,Change The Ref,The Final Exam,Change The Ref,Energy BBDO,Chicago
Silver,DAVID New York,New York,UNITED STATES,Audio Radio,Podcasts,Clash of Clans,Hammerless,Supercell,DAVID New York,New York
Silver,GREY,New York,UNITED STATES,Audio Radio,Beverages Campaign,Minute Maid,Birthday Doctor Family,The Coca-Cola Company,GREY,New York
Silver,VML,New York,UNITED STATES,Audio Radio,Creativity in Commerce,OREO,Name This OREO,Mondelez,VML,New York
Silver,Ogilvy New York,New York,UNITED STATES,Billboard,Beauty Well-being Campaign,Dove - Get Unready,Carnaval Holi New Years Post Game St Patricks,Unilever,Ogilvy,New York
Silver,Ogilvy New York,New York,UNITED STATES,Billboard,Craft Photography Campaign,Dove - Get Unready,Carnaval Holi New Years Post Game St Patricks,Unilever,Ogilvy,New York
Silver,Area 23 an IPG Health Company,New York,UNITED STATES,Branded Content,Documentary Short Film,GAVIAO KYIKATEJE FC,KYIKATEJE,GAVIAO KYIKATEJE FC,Area 23 an IPG Health Company,New York
Silver,McCann NY,New York,UNITED STATES,Branded Entertainment,Music Videos,Mastercard,From Fan to Featured,Mastercard,McCann XBC,New York
Silver,DAVID New York,New York,UNITED STATES,Creative Strategy,Partnership Collaboration,Clash of Clans,Clash the WWE,Supercell,DAVID New York,New York
Silver,GUT,Los Angeles,UNITED STATES,Creative Strategy,Long-term Creative Strategy-Effectiveness,DoorDash,Flowers Are For Everyone,DoorDash,GUT LA,Los Angeles
Silver,VML,New York,UNITED STATES,Creative Use of Data,Real-Time Data,Ziploc,Preserved Promos,SC Johnson,VML New York-Obviously,New York
Silver,Area 23 an IPG Health Company,New York,UNITED STATES,Creativity In Media,Use of Outdoor,Equality Health Foundation,Zip Code Exam,Equality Health Foundation,Area 23 an IPG Health Company,New York
Silver,GREY,New York,UNITED STATES,Creativity In Media,Use of TV and Other Screens,Angel Soft,Pottytunities,Georgia Pacific Llc,GREY,New York
Silver,Zenith,Detroit,UNITED STATES,Creativity In Media,Use of Events and Stunts,Rocket,First Ever LIVE Commercial Crossover,Rocket,Mirimar,Venica
Silver,Area 23 an IPG Health Company,New York,UNITED STATES,Design,Creative Use of Data,Equality Health Foundation,Zip Code Exam,Equality Health Foundation,Area 23 an IPG Health Company,New York
Silver,Area 23 an IPG Health Company,New York,UNITED STATES,Design,Data Visualization,Equality Health Foundation,Zip Code Exam,Equality Health Foundation,Area 23 an IPG Health Company,New York
Silver,FCB Chicago,Chicago,UNITED STATES,Design,Craft Typography,Caption with Intention,,Rakish Entertainment,FCB Chicago,Chicago
Silver,FCB Chicago,Chicago,UNITED STATES,Design,Craft Visual Design,Caption with Intention,,Rakish Entertainment,FCB Chicago,Chicago
Silver,MullenLowe US,New York,UNITED STATES,Design,Craft Art Direction Campaign,Art Directors Club - Be Seen by the Best Eyes,,The One Club for Creativity,MullenLowe US,New York
Silver,Ogilvy,Chicago,UNITED STATES,Design,Craft Art Direction,Chicago International Film Festival,60 Years of Film,Chicago International Film Festival,Ogilvy,Chicago
Silver,Energy BBDO,Chicago,UNITED STATES,Evolution,CSR DEI Non-Profit SDG,Change The Ref,The Final Exam,Change The Ref,Energy BBDO,Chicago
Silver,Johannes Leonardo,New York,UNITED STATES,Music Sound,Use of Licensed Music,adidas Football,Hey Jude,adidas,Johannes Leonardo,New York
Silver,Wave Studios NY,New York,UNITED STATES,Music Sound,Sound Mixing,Xbox,Wake Up,Xbox,Accenture Song,New York
Silver,WoW Studios,Chicago,UNITED STATES,Music Sound,Original Music with Lyrics,KitchenAidA 360A Max Jetsa Third Rack Dishwashers,Love the Racks,Whirlpool Corporation,,
Silver,SpecialGuest,Brooklyn,UNITED STATES,Music Video,Best Music Video,OK Go,Love,OK Go Ray-Ban Meta,SpecialGuest,Brooklyn
Silver,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Music Video,Cinematography,Ivan Cornejo,Intercambio Injusto,Apple,TBWA-Media Arts Lab,LATAM
Silver,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Music Video,Direction,Ivan Cornejo,Intercambio Injusto,Apple,TBWA-Media Arts Lab,LATAM
Silver,McCann NY,New York,UNITED STATES,Online Film,Use of Social Media,Mastercard,From Fan to Featured,Mastercard,McCann XBC,New York
Silver,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Online Film,Technology Tech Equipment,Apple,Flock,Apple,TBWA-Media Arts Lab,Los Angeles
Silver,DAVID,Miami,UNITED STATES,Print,Craft Photography Campaign,Corona - Corona Eclipse,Uruguay Brazil Argentina,AB INBEV,DAVID,Miami
Silver,Ogilvy New York,New York,UNITED STATES,Print,Craft Photography Campaign,Dove - Get Unready,Carnaval Holi Mardi Gras New Years St Patricks,Unilever,Ogilvy,New York
Silver,VML,New York,UNITED STATES,Print,Beverages Campaign,The Coca-Cola Company,CLASSIC - 1 CLASSIC - 2,The Coca-Cola Company,VML,New York
Silver,Disney,Los Angeles,UNITED STATES,Production Post-Production,CGI Animation,Disney,The Boy The Octopus,Disney,adameveDDB London-adameveDDB New York-adameveDDB,Los Angeles
Silver,Havas NY,New York,UNITED STATES,Production Post-Production,Performance-Casting Campaign,Mikes Amazing Foods,Group Therapy Backyard BBQ,Chefler Foods,Havas NY,New York
Silver,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,TV Cinema,Technology Tech Equipment,Apple,Flock,Apple,TBWA-Media Arts Lab,Los Angeles
Bronze,Ogilvy Argentina,Buenos Aires,ARGENTINA,Audio Radio,Humor,Calm Is Simple,The Sound of Divorce,Calm es Simple,Ogilvy Argentina,Buenos Aires
Bronze,Ogilvy Argentina,Buenos Aires,ARGENTINA,Audio Radio,Innovative Use of Audio Radio,Calm Is Simple,The Sound of Divorce,Calm es Simple,Ogilvy Argentina,Buenos Aires
Bronze,GUT,Buenos Aires,ARGENTINA,Creative Strategy,Experiential,PedidosYa,Never Stop Ordering,Delivery Hero,GUT,Buenos Aires
Bronze,Mercado Mccann,Buenos Aires,ARGENTINA,Creativity In Media,Challenger Brand,Schneider,The Lucky Sponsor,CCU,Mercado Mccann Buenos Aires-McCann Worldgroup,New York
Bronze,Altvfx,Brisbane,AUSTRALIA,Production Post-Production,CGI Animation Campaign,Telstra,Four Legged Friend Mirror Mirror Magnetic Boy,Telstra,Bear Meets Eagle on Fire,
Bronze,Bear Meets Eagle On Fire,Sydney,AUSTRALIA,Production Post-Production,Performance-Casting Campaign,Telstra,Scamageddon Deceiver Lever Scamalanche Villains BTS,Alita McMenamin,Bear Meets Eagle On Fire,Sydney
Bronze,FINCH,Sydney,AUSTRALIA,Production Post-Production,Cinematography,Samsung,Let Go,Samsung Electronics Co Ltd,DDB Aotearoa,Auckland
Bronze,Revolver,Sydney,AUSTRALIA,Production Post-Production,Direction,Telstra,Donkey,Telstra Group Limited,Bear Meets Eagle on Fire,Sydney
Bronze,Revolver,Sydney,AUSTRALIA,Production Post-Production,Production Design,Telstra,Shoemaker,Telstra Group Limited,Bear Meets Eagle On Fire,Sydney
Bronze,Bear Meets Eagle On Fire,Sydney,AUSTRALIA,TV Cinema,B2B,Telstra,Wherever Your Business Goes,Telstra,Bear Meets Eagle On Fire,Sydney
Bronze,Bear Meets Eagle On Fire,Sydney,AUSTRALIA,TV Cinema,Utilities,Telstra,Together is For Christmas,Telstra,Bear Meets Eagle On Fire,Sydney
Bronze,Mutant,Antwerp,BELGIUM,Production Post-Production,CGI Animation,De Warmste Week,De Warmste Week 2024 - Fighting Against Loneliness,VRT,Mutant,Antwerp
Bronze,Mutant,Antwerp,BELGIUM,Production Post-Production,Editing,Paralympic Team Belgium,The Empty Seat,Paralympic Team Belgium,Mutant,Antwerp
Bronze,Ogilvy Brasil,Sao Paulo,BRAZIL,Branded Content,Scripted Short Film,Hasbro Brasil,DungeonsDragons The Lost Episode,Hasbro Brasil,Ogilvy Brasil,Sao Paulo
Bronze,Artplan,Sao Paulo,BRAZIL,Creativity In Media,Corporate Purpose-Social Responsibility,Vtex,Re-commerce Atacama,Vtex,Artplan,Sao Paulo
Bronze,Artplan,Sao Paulo,BRAZIL,Design,Craft Art Direction,Idomed - Instituto Yduqs,Nigrum Corpus,Idomed-Instituto Yduqs,Artplan,Sao Paulo
Bronze,Artplan,Sao Paulo,BRAZIL,Design,Editorial Design,Idomed - Instituto Yduqs,Nigrum Corpus,Idomed-Instituto Yduqs,Artplan,Sao Paulo
Bronze,Grey Brasil,Sao Paulo,BRAZIL,Design,Innovative Use of Design,Zespri,The 100 Home Compostable Sticker,Zespri International Limited,Grey Brasil,Sao Paulo
Bronze,Grey Brasil,Sao Paulo,BRAZIL,Evolution,Brand Action,Corona Brasil,Sun Reserve,AB INBEV,Grey Brasil,Sao Paulo
Bronze,Publicis,Toronto,CANADA,Ambient Activation,Public Service-Charity-NGO,Matties Place,Pet-ition,Matties Place,Publicis,Toronto
Bronze,Klick Health,Toronto,CANADA,Branded Content,Scripted Short Film,Second Nurture,18 Months,Second Nurture,Klick Health,Toronto
Bronze,Rethink,Toronto,CANADA,Branded Content,Use of Social Media,Kraft Heinz,Cant Unsee It,Kraft Heinz,Rethink,Toronto
Bronze,Publicis,Toronto,CANADA,Creativity In Media,Use of Ambient Media,Dairy Queen,Big Red Spoons,Dairy Queen,Publicis,Toronto
Bronze,Klick Health,Toronto,CANADA,Design,Product Design,Infinito Mare,Self-Healing Float,Infinito Mare,Klick Health,Toronto
Bronze,Klick Health,Toronto,CANADA,Design,Public Service-Charity-NGO,Second Nurture,18 Months,Second Nurture,Klick Health,Toronto
Bronze,FCB Canada,Toronto,CANADA,Production Post-Production,Performance-Casting,SickKids Foundation,The Count,SickKids Foundation,FCB,Toronto
Bronze,Salt XC,Toronto,CANADA,Production Post-Production,AI,Visa Play and Stay,Field the Future,Visa,Salt XC,Toronto
Bronze,Klick Health,Toronto,CANADA,TV Cinema,Branded Entertainment,Second Nurture,18 Months,Second Nurture,Klick Health,Toronto
Bronze,Klick Health,Toronto,CANADA,TV Cinema,Public Service-Charity-NGO,Second Nurture,18 Months,Second Nurture,Klick Health,Toronto
Bronze,LG2,Montreal,CANADA,TV Cinema,Branded Content,Fondation CHU Sainte-Justine,The Orange,Fondation CHU Sainte-Justine,LG2,
Bronze,TOPic,Beijing,CHINA,Creative Strategy,Contextual Insight,Yili,Twin Sister of Olympic,Yili,,
Bronze,Beijing 20k Miles Culture Communications CoLtd,Beijing,CHINA,Music Sound,Sound Design,HUAWEI,HUAWEI Care,VISUAL SIGNALTAO,,
Bronze,The Nine,Shanghai,CHINA,Print,Craft Photography Campaign,Yotkan Ancient City in Xinjiang China,Magnificent Campaign,Yotkan Ancient City in Xinjiang China,The Nine,Shanghai
Bronze,DAVID,Bogota,COLOMBIA,Ambient Activation,Challenger Brand,Aguila,Brand of the Match,AB INBEV,DAVID,Bogota
Bronze,DDB Colombia,Bogota,COLOMBIA,Ambient Activation,Creative Use of Data,Procolombia,Humanimal Tourism,Jorge Ivan Rueda,DDB Colombia,Bogota
Bronze,DDB Colombia,Bogota,COLOMBIA,Creative Use of Data,Data-Led Targeting,Procolombia,Humanimal Tourism,Jorge Ivan Rueda,DDB Colombia,Bogota
Bronze,DAVID,Bogota,COLOMBIA,Creativity In Media,B2B,Aguila,Unmelting Loyalty,AB InBev,DAVID,Bogota
Bronze,DAVID,Bogota,COLOMBIA,Creativity In Media,Use of Events and Stunts,Aguila,Stadium Roulette,AB INBEV,DAVID,Bogota
Bronze,DDB Colombia,Bogota,COLOMBIA,Creativity In Media,Use of Data Analytics,Procolombia,Humanimal Tourism,Jorge Ivan Rueda,DDB Colombia,Bogota
Bronze,VML,Prague,CZECH REPUBLIC,Print,Zeitgeist Campaign,KitKat,CrowdStreetPublic Transport,Nestle,VML,Prague
Bronze,BETC,Paris,FRANCE,Audio Radio,Humor,So Foot,Football Lover FM,So Foot,BETC,Paris
Bronze,Buzzman,Paris,FRANCE,Creative Strategy,Partnership Collaboration,Burger King France,BK x KFC The Impossible Collab,Burger King and KFC,Buzzman Paris-Havas,Puteaux
Bronze,Havas Play,Puteaux,FRANCE,Creative Strategy,Partnership Collaboration,LVMH,The Partnership That Changed Everything,LVMH,Havas Play Puteaux-Havas Events Puteaux-Havas Paris,Puteaux
Bronze,BETC,Paris,FRANCE,Creativity In Media,Use of Outdoor,Citroen,Bumpboards,Stellantis,BETC,Paris
Bronze,McCann Paris,Paris,FRANCE,Creativity In Media,Use of Events and Stunts,Saforelle,Skincare For Down There,Biocodex,McCann Paris Paris-McCann Health London An IPG Health Company,London
Bronze,Marcel,Paris,FRANCE,Design,Craft Typography,Kiehls,Pubic Service Announcement,LOreal,Marcel,Paris
Bronze,Marcel,Paris,FRANCE,Poster,Beauty Well-being,Kiehls,Pubic Service Announcement,LOreal,Marcel,Paris
Bronze,Marcel,Paris,FRANCE,Print,Craft Typography,Kiehls,Pubic Service Announcement,LOreal,Marcel,Paris
Bronze,Saatchi Saatchi Germany,DA14sseldorf,GERMANY,Ambient Activation,Foods,Oreo,Oreo Square Cookie,Mondelez International,Saatchi Saatchi Germany,
Bronze,SERVICEPLAN GERMANY,Munich,GERMANY,Audio Radio,Humor Campaign,Techem,Ding Dong Campaign - Thong Mask Beard,Techem Energy Services,SERVICEPLAN GERMANY,Munich
Bronze,Ogilvy Group Germany,Frankfurt,GERMANY,Billboard,Craft Art Direction Campaign,German Rail - Connecting Europe,Netherlands Austria Denmark Spain,German Rail,Ogilvy Group Germany,Frankfurt
Bronze,MRM Germany,Frankfurt,GERMANY,Creative Use of Data,Data Collection and Research,Life Donor Card,Life Donor Card,Mastercard,MRM GERMANY,Frankfurt
Bronze,Saatchi Saatchi Germany,DA14sseldorf,GERMANY,Creativity In Media,Consumer Packaged Goods-FMCG,Oreo,Oreo Square Cookie,Mondelez International,Saatchi Saatchi Germany,
Bronze,Accenture Song Germany,Hamburg,GERMANY,Design,Data Visualization,WWF Germany,GhostNetZero,WWF Germany,Accenture Song Germany,Hamburg
Bronze,Accenture Song Germany,Hamburg,GERMANY,Design,Sustainable Design SDG,WWF Germany,GhostNetZero,WWF Germany,Accenture Song Germany,Hamburg
Bronze,Scholz Friends,Berlin,GERMANY,Design,Craft Art Direction Campaign,Berliner Philharmoniker,Stage Floor Great Hall Foyer Windows 1st Floor Chairbacks Chamber Music Hall Philharmonie Light 1 Foyer Mosaic Floor Foyer Facade Panel Seating Object Forecourt Ceiling Light Foyer,Berliner Philharmonie gGmbH,Scholz Friends,Berlin
Bronze,Scholz Friends,Berlin,GERMANY,Design,Logos,Tiroler Festspiele Erl,Brand Design,Tiroler Festspiele Erl,Scholz Friends Berlin-Scholz Friends,Vienna
Bronze,Saatchi Saatchi Germany,DA14sseldorf,GERMANY,Music Sound,Music Adaptation - Song,Deutsche Telekom,Bubbles,Deutsche Telekom,Saatchi Saatchi Germany-MUW Saatchi Saatchi Bratislava,
Bronze,Ogilvy Group Germany,Frankfurt,GERMANY,Poster,Craft Art Direction Campaign,German Rail - Connecting Europe,Netherlands Austria Denmark Spain,German Rail,Ogilvy Group Germany,Frankfurt
Bronze,Saatchi Saatchi Germany,DA14sseldorf,GERMANY,Production Post-Production,Cinematography,Deutsche Telekom,Bubbles,Deutsche Telekom,Saatchi Saatchi Germany-MUW Saatchi Saatchi Bratislava,
Bronze,SERVICEPLAN GERMANY,Munich,GERMANY,Production Post-Production,Editing,Lufthansa,All It Takes Is A Yes,Deutsche Lufthansa AG,SERVICEPLAN GERMANY,Munich
Bronze,McCann Worldgroup,Athens,GREECE,Ambient Activation,Creativity in Commerce,Wikifarmer,The Wedding Rice,Wikifarmer,McCann Worldgroup,Athens
Bronze,NNNNNNN,Hong Kong,HONG KONG,Design,Experiential Design,HSBC Hong Kong,HSBC 160th Anniversary Rube Goldberg Machine,HSBC Hong Kong,NNNNNNN Hong Kong-Omnicom Media Group,Hong Kong
Bronze,Ogilvy Hong Kong,Hong Kong,HONG KONG,Design,Craft Visual Design Campaign,Coca-Cola - Year of the Snake,Merch Bus Train Street Skate Dress,The Coca-Cola Company,Ogilvy Singapore Singapore-Ogilvy Hong Kong Hong Kong-Ogilvy Shanghai,Shanghai
Bronze,Ogilvy,Mumbai,INDIA,Ambient Activation,Corporate Purpose-Social Responsibility,Vi Vodafone Idea,Vi Guardian Beads,Vi Vodafone Idea,Ogilvy,Mumbai
Bronze,Ogilvy,Mumbai,INDIA,Creativity In Media,Creating Culture,Vi Vodafone Idea,Vi Guardian Beads,Vi Vodafone Idea,Ogilvy,Mumbai
Bronze,Ogilvy,Mumbai,INDIA,Music Sound,Experiential Use of Music Sound,Brooke Bond Taj Mahal Tea,Chai Bansuri - The Tea Flute,Brooke Bond Taj Mahal Tea,Ogilvy,Mumbai
Bronze,Studio Eeksaurus Productions,Mumbai,INDIA,Production Post-Production,Production Design,Centre for Pastoralism,Desi Oon,Centre for Pastoralism,Studio Eeksaurus Productions,Mumbai
Bronze,Droga5 Dublin Part of Accenture Song,Dublin,IRELAND,Creativity In Media,Non-Profit,Samaritans Dublin,26 Minutes,Samaritans Dublin,Droga5 Dublin Part of Accenture Song,Dublin
Bronze,LePub,Milan,ITALY,Ambient Activation,B2B,Heineken,Starring Bars,Heineken,LePub Milan-LePub Singapore,Singapore
Bronze,LePub,Milan,ITALY,Ambient Activation,Corporate Purpose-Social Responsibility,Heineken,Starring Bars,Heineken,LePub Milan-LePub Singapore,Singapore
Bronze,Indiana Production,Milan,ITALY,Audio Radio,Innovative Use of Audio Radio,Amplifon,The Special Hearing Test,Amplifon,SMALL,New York
Bronze,LePub,Milan,ITALY,Creativity In Media,Use of Events and Stunts,Toblerone,Tantrum Girl,Modelez,LePub,Milan
Bronze,LePub,Milan,ITALY,Music Video,Cinematography,Desperados,Guao Guao,Desperados,LePub,Milan
Bronze,LePub,Milan,ITALY,Online Film,Beverages - Alcoholic,Desperados,Guao Guao,Desperados,LePub,Milan
Bronze,TBWA-Hakuhodo Inc,Tokyo,JAPAN,Design,Prototype,Nissan Motor Co Ltd,Intelligent Puppet Iruyo,Nissan Motor Co Ltd,TBWA-Hakuhodo Inc,Tokyo
Bronze,VML Ogilvy Japan,Tokyo,JAPAN,Online Film,Humor Campaign,Fanta,Mr Drone Mr Wild Ms Hot Spring,The Coca-Cola Company,VML Ogilvy Japan,Tokyo
Bronze,SIX inc,Tokyo,JAPAN,Production Post-Production,Visual Effects,Toyota Gazoo Racing,Go GR Supra Safety Car,TOYOTA MOTOR CORPORATION,SIX inc,Tokyo
Bronze,VML Ogilvy Japan,Tokyo,JAPAN,TV Cinema,Humor Campaign,Fanta,Mr Drone Mr Wild Ms Hot Spring,The Coca-Cola Company,VML Ogilvy Japan,Tokyo
Bronze,INNOCEAN,Seoul,KOREA,Branded Content,Scripted Short Film,IONIQ,Night Fishing,Hyundai Motor Company,INNOCEAN,Seoul
Bronze,INNOCEAN,Seoul,KOREA,Design,Spatial Design,Iljuk Bathhouse,Life-Saving Bathhouse,Anseong City,INNOCEAN,Seoul
Bronze,Cheil Worldwide,Seoul,KOREA,Package Design,Promotional Packaging,GS25,Lifeguard Snack,GS25 Retail,Cheil Worldwide,Seoul
Bronze,Grey Mexico,Mexico City,MEXICO,Music Sound,Sound Design,Newspaper la Union y Articulo 19,The Shooting,Newspaper la Union y Articulo 19,Grey Mexico,Mexico City
Bronze,Made Mexico,Mexico City,MEXICO,TV Cinema,Public Service-Charity-NGO,ILAS,The Ugliest Sweater,ILAS,Made Mexico,Mexico City
Bronze,DDB Group Aotearoa,Auckland,NEW ZEALAND,Creative Use of Data,Data Visualization,Samsung,Worst Childrens Library,Samsung New Zealand,DDB Group Aotearoa,
Bronze,DDB Group Aotearoa,Auckland,NEW ZEALAND,Creativity In Media,Use of Retail Media,Vogels,Certified Toasters,Goodman Fielder,DDB Group Aotearoa,Auckland
Bronze,Try,Oslo,NORWAY,TV Cinema,Copywriting Campaign,IKEA,Hope Mornings Picky Awake,IKEA,Try,Oslo
Bronze,Star5,Panama,PANAMA,Creativity In Media,Use of Outdoor,Nescafe,Decaf Billboards,Nestle,Star5 Ogilvy,Panama
Bronze,BBDO Guerrero,Makati,PHILIPPINES,Audio Radio,Beverages Campaign,Mountain Dew,Fighter Zombie Racing,PepsiCo Philippines,BBDO Guerrero,Makati
Bronze,GIGIL,Manila,PHILIPPINES,Online Film,Branded Entertainment,RC Cola,Miracle,ARC Refreshments Corporation,GIGIL,Manila
Bronze,VML,Riyadh,SAUDI ARABIA,Creative Use of Data,Real-Time Data,Hungerstation,The Shaded Route,Hungerstation,VML,Riyadh
Bronze,BigTime Creative Shop,Riyadh,SAUDI ARABIA,Production Post-Production,Performance-Casting,General Entertainment Authority,Everything or Nothing,General Entertainment Authority,BigTime Creative Shop,Riyadh
Bronze,BigTime Creative Shop,Riyadh,SAUDI ARABIA,Production Post-Production,Cinematography,General Entertainment Authority,Obsession,General Entertainment Authority,BigTime Creative Shop,Riyadh
Bronze,BigTime Creative Shop,Riyadh,SAUDI ARABIA,Production Post-Production,Visual Effects,General Entertainment Authority,Obsession,General Entertainment Authority,BigTime Creative Shop,Riyadh
Bronze,Bananas,Johannesburg,SOUTH AFRICA,Online Film,Retail,KFC,Let There Be Cake,YUM BRANDS,Bananas Johannesburg-Brains Brawn,Johannesburg
