Award,Entrant,Entrant City,Country,Track,Category,Brand,Title,Corporate Name of Client,Agency,Agency City
Gold,HeimatTBWA- Germany,Berlin,GERMANY,Production Post-Production,Direction,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin
Gold,HeimatTBWA- Germany,Berlin,GERMANY,Production Post-Production,Editing,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin
Gold,HeimatTBWA- Germany,Berlin,GERMANY,Production Post-Production,Performance-Casting,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin
Gold,HeimatTBWA- Germany,Berlin,GERMANY,Production Post-Production,Production Design,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin
Gold,Ogilvy,Bengaluru,INDIA,Creativity In Media,Health Pharma,Eye,Eye Test Menu,Titan Company Limited,Ogilvy Bengaluru-Ogilvy,Mumbai
Gold,LePub,Milan,ITALY,Music Video,Best Music Video,Desperados,Guao Guao,Desperados,LePub,Milan
Gold,LePub,Milan,ITALY,Online Film,Use of Social Media,Toblerone,Tantrum Girl,Modelez,LePub,Milan
Gold,LePub,Milan,ITALY,Production Post-Production,Cinematography,Desperados,Guao Guao,Desperados,LePub,Milan
Gold,LePub,Milan,ITALY,Production Post-Production,Performance-Casting,Desperados,Guao Guao,Desperados,LePub,Milan
Gold,Dentsu Inc,Tokyo,JAPAN,Design,Craft Art Direction Campaign,NIKKA WHISKY - No Labels,,ASAHI BREWERIES LTD-THE NIKKA WHISKY DISTILLING CO LTD,Dentsu Inc,Tokyo
Gold,LePub Mexico City,Mexico City,MEXICO,Branded Entertainment,Experiential and Events,Tecate Light,Gulf of Mexico Bar,Heineken Group,LePub Mexico City,Mexico City
Gold,LePub Mexico City,Mexico City,MEXICO,Creativity In Media,Use of Events and Stunts,Tecate Light,Gulf of Mexico Bar,Heineken Group,LePub Mexico City,Mexico City
Gold,LePub Mexico City,Mexico City,MEXICO,Evolution,Brand Action,Tecate Light,Gulf of Mexico Bar,Heineken Group,LePub Mexico City,Mexico City
Gold,Grey Mexico,Mexico City,MEXICO,Online Film,Corporate Purpose-Social Responsibility,Newspaper la Union y Articulo 19,The Shooting,Newspaper la Union y Articulo 19,Grey Mexico,Mexico City
Gold,Grey Mexico,Mexico City,MEXICO,Production Post-Production,Cinematography,Newspaper la Union y Articulo 19,The Shooting,Newspaper la Union y Articulo 19,Grey Mexico,Mexico City
Gold,Grey Mexico,Mexico City,MEXICO,Production Post-Production,Direction,Newspaper la Union y Articulo 19,The Shooting,Newspaper la Union y Articulo 19,Grey Mexico,Mexico City
Gold,Grey Mexico,Mexico City,MEXICO,TV Cinema,Corporate Purpose-Social Responsibility,Newspaper la Union y Articulo 19,The Shooting,Newspaper la Union y Articulo 19,Grey Mexico,Mexico City
Gold,Grey Mexico,Mexico City,MEXICO,TV Cinema,Media,Newspaper la Union y Articulo 19,The Shooting,Newspaper la Union y Articulo 19,Grey Mexico,Mexico City
Gold,Motion Sickness,Auckland,NEW ZEALAND,Branded Entertainment,Online Episodes and Specials Series,The New Zealand Herpes Foundation,Make New Zealand The Best Place In The World To Have Herpes,The New Zealand Herpes Foundation,Motion Sickness,Auckland
Gold,Motion Sickness,Auckland,NEW ZEALAND,Online Film,Health Pharma Campaign,The New Zealand Herpes Foundation,Intro - Sir Graham Henry Lesson 1 - What is Herpes Lesson 2 - How Common is Herpes Lesson 3 - Is Herpes Scary Lesson 4 - How to Not Make Herpes Awkward Lesson 5 - How to Fight Stigma Outro - Sir Grahm Henry,The New Zealand Herpes Foundation,Motion Sickness,Auckland
Gold,de la Cruz Ogilvy,Puerto Rico,PUERTO RICO,Package Design,Health Pharma,Alivia Health,Glowing Relief,Alivia Health,de la Cruz Ogilvy Puerto Rico-Ogilvy Health,New York
Gold,BigTime Creative Shop,Riyadh,SAUDI ARABIA,Music Sound,Music Adaptation - Song,General Entertainment Authority,Obsession,General Entertainment Authority,BigTime Creative Shop,Riyadh
Gold,Ogilvy,Singapore,SINGAPORE,Creative Strategy,Use of Social Media,Unilever - Vaseline,Vaseline Verified,Unilever PLC,Ogilvy Singapore,Singapore
Gold,Ogilvy,Singapore,SINGAPORE,Evolution,Use of Social Media,Unilever - Vaseline,Vaseline Verified,Unilever PLC,Ogilvy Singapore,Singapore
Gold,DAVID,Madrid,SPAIN,Audio Radio,Craft Script Writing,Fusion,High Energy Intern,AMBEV Fusion Energy,DAVID,Madrid
Gold,DAVID,Madrid,SPAIN,Creativity In Media,B2B,Coca-Cola,Shades of Red,The Coca Cola Company,DAVID,Madrid
Gold,SAMY Alliance,Madrid,SPAIN,Production Post-Production,2D Animation,PETA,Being Vegan is Good Sht,PETA,SAMY Alliance,Madrid
Gold,Leo Sweden,Stockholm,SWEDEN,Evolution,Creativity in Commerce,Elgiganten,GamePay,Elkjoep - Curries,Leo Sweden,Stockholm
Gold,BBDO Bangkok,Bangkok,THAILAND,Online Film,Branded Content,Five Star,Death of A Salesman,CPF Restaurant and Foods Chain CoLtd,BBDO Bangkok,Bangkok
Gold,BBDO Bangkok,Bangkok,THAILAND,Online Film,Humor,Five Star,Death of A Salesman,CPF Restaurant and Foods Chain CoLtd,BBDO Bangkok,Bangkok
Gold,BBDO Bangkok,Bangkok,THAILAND,Online Film,Retail,Five Star,Death of A Salesman,CPF Restaurant and Foods Chain CoLtd,BBDO Bangkok,Bangkok
Gold,Leo Dubai,Dubai,UNITED ARAB EMIRATES,Billboard,Craft Photography Campaign,NBA India - The Great Indian Dunk,Jordan 23 Kobe 08 Lebron 06 Shaq 34,NBA,Leo Dubai,Dubai
Gold,VML,Dubai,UNITED ARAB EMIRATES,Creative Use of Data,Social-Powered Data,HungerStation,The Social Feed,HungerStation,VML,Dubai
Gold,Leo Dubai,Dubai,UNITED ARAB EMIRATES,Poster,Craft Photography Campaign,NBA India - The Great Indian Dunk,Jordan 23 Kobe 08 Lebron 06 Shaq 34,NBA,Leo Dubai,Dubai
Gold,Leo Dubai,Dubai,UNITED ARAB EMIRATES,Print,Craft Photography Campaign,NBA India - The Great Indian Dunk,Jordan 23 Kobe 08 Lebron 06 Shaq 34,NBA,Leo Dubai,Dubai
Gold,VCCP,London,UNITED KINGDOM,Billboard,Craft Copywriting Campaign,Cadbury Dairy Milk,Who Cooked Flights Duvet Subscription Who Drove Group Chat Slides Birthdays,Mondelz International,VCCP,London
Gold,VCCP,London,UNITED KINGDOM,Billboard,Foods Campaign,Cadbury Dairy Milk,Who Cooked Flights Duvet Subscription Who Drove Group Chat Slides Birthdays,Mondelz International,VCCP,London
Gold,AMVBBDO,London,UNITED KINGDOM,Creative Strategy,Beauty Well-being,Essity - Bodyform,Never Just A Period,Essity Bodyform,AMVBBDO,London
Gold,AMVBBDO,London,UNITED KINGDOM,Creative Strategy,Long-term Creative Strategy-Effectiveness,Libresse-Bodyform,Livefearless - The Heart Guts Behind The Blood,Essity Bodyform,AMVBBDO,London
Gold,Ogilvy UK,London,UNITED KINGDOM,Creative Strategy,Long-term Creative Strategy-Effectiveness,Dove,Real Beauty How A Soap Brand Created A Global Self-Esteem Movement,Unilever,Ogilvy UK,London
Gold,VCCP,London,UNITED KINGDOM,Design,Craft Motion Graphics - Animation,Co-op,Owned By You Right By You,Co-op,VCCP,London
Gold,Wolff Olins,London,UNITED KINGDOM,Design,Best Local Market,Lloyds,A Next Step Forward,Lloyds Banking Group,,
Gold,Wolff Olins,London,UNITED KINGDOM,Design,Logos,Lloyds,A Next Step Forward,Lloyds Banking Group,,
Gold,Wolff Olins,London,UNITED KINGDOM,Design,Rebrand,Lloyds,A Next Step Forward,Lloyds Banking Group,,
Gold,750mph,London,UNITED KINGDOM,Music Sound,Sound Mixing,Riyadh Season,Call Of The Kings,Riyadh Season,BigTime Creative Shop,Riyadh
Gold,750mph,London,UNITED KINGDOM,Music Sound,Sound Mixing,Riyadh Season,Fury vs Usyk,Riyadh Season,BigTime Creative Shop,Riyadh
Gold,AMVBBDO,London,UNITED KINGDOM,Music Sound,Music Adaptation - Instrumental,Essity-Bodyform,Never Just a Period,Essity Bodyform,AMVBBDO,London
Gold,VCCP,London,UNITED KINGDOM,Package Design,Craft Copywriting,Cadbury Dairy Milk,Made to Share,Mondelz International,VCCP,London
Gold,AMVBBDO,London,UNITED KINGDOM,Production Post-Production,Editing,Essity-Bodyform,Never Just a Period,Essity Bodyform,AMVBBDO,London
Gold,FCB London,London,UNITED KINGDOM,Production Post-Production,Direction,Andrex - Get Comfortable,First School Poo,Kimberly-Clark,FCB London,London
Gold,Energy BBDO,Chicago,UNITED STATES,Ambient Activation,Political,Change The Ref,The Final Exam,Change The Ref,Energy BBDO,Chicago
Gold,Ogilvy,New York,UNITED STATES,Branded Content,Online Series,San Pellegrino CIAO,With Love Italy,Nestle,Ogilvy,New York
Gold,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Branded Content,Virtual Reality,Apple,Submerged,Apple,TBWA-Media Arts Lab,Los Angeles
Gold,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Branded Entertainment,Virtual Reality,Apple,Submerged,Apple,TBWA-Media Arts Lab,Los Angeles
Gold,McCann NY,New York,UNITED STATES,Creative Strategy,Cultural Insight,Last Prisoner Project,The Pen to Right History,Last Prisoner Project,McCann NY,New York
Gold,The Kitchen North America,Chicago,UNITED STATES,Creative Strategy,Partnership Collaboration,Heinz Mustard,Heinz Mustard x Mustard,Kraft Heinz,Cashmere Los Angeles-The Kitchen North America,Chicago
Gold,Amazon XCM,Santa Monica,UNITED STATES,Creative Use of Data,Data-Led Creativity,Amazon,5-Star Theater with Adam Driver,Amazon,,
Gold,Zenith,Detroit,UNITED STATES,Creativity In Media,Banking Finance,Rocket,First Ever LIVE Commercial Crossover,Rocket,Mirimar,Venica
Gold,FCB Chicago,Chicago,UNITED STATES,Design,Innovative Use of Design,Caption with Intention,,Rakish Entertainment,FCB Chicago,Chicago
Gold,MullenLowe US,New York,UNITED STATES,Design,Craft Visual Design Campaign,Art Directors Club - Be Seen by the Best Eyes,,The One Club for Creativity,MullenLowe US,New York
Gold,FCB Health New York an IPG Health Company,New York,UNITED STATES,Music Sound,Use of Licensed Music,SAFE Project,The Snowball,SAFE Project,FCB Health New York an IPG Health Company,New York
Gold,Sound Lounge,New York,UNITED STATES,Music Sound,Sound Mixing,Tonal,Future of Fitness,Quality Experience,Quality Experience,New York
Gold,The Music Playground,New York,UNITED STATES,Music Sound,Original Music with Lyrics,LifeBridge Health,Stop The Iron Pipeline,LifeBridge Health,Strawberry Frog,New York
Gold,PRETTYBIRD,Culver City,UNITED STATES,Music Video,Direction,Kendrick Lamar,Squabble Up,Kendrick Lamar,,
Gold,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Music Video,Production Design,Ivan Cornejo,Intercambio Injusto,Apple,TBWA-Media Arts Lab,LATAM
Gold,Ogilvy New York,New York,UNITED STATES,Print,Beauty Well-being Campaign,Dove - Get Unready,Carnaval Holi Mardi Gras New Years St Patricks,Unilever,Ogilvy,New York
Gold,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Production Post-Production,CGI Animation,Apple,Flock,Apple,TBWA-Media Arts Lab,Los Angeles
Gold,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Production Post-Production,Visual Effects,Apple,Flock,Apple,TBWA-Media Arts Lab,Los Angeles
Silver,TBWA-Melbourne,Melbourne,AUSTRALIA,Ambient Activation,Best Use of Real Time Advertising,Specsavers,Welcome to Melbourne,Specsavers ANZ,TBWA-Melbourne,Melbourne
Silver,Droga5 ANZ part of Accenture Song,Sydney,AUSTRALIA,Branded Content,Use of Social Media,Australian Lamb,The Comments Section,Nathan Low,Droga5 Australia part of Accenture Song Sydney-Droga5 Australia part of Accenture Song,Melbourne
Silver,Leo Australia,Sydney,AUSTRALIA,Creative Strategy,Long-term Creative Strategy-Effectiveness,Suncorp Insurance,Building A More Resilient Australia,Suncorp Insurance,Leo Australia,Sydney
Silver,Leo Australia,Sydney,AUSTRALIA,Creative Use of Data,Data-Led Creativity,Suncorp Insurance,Suncorp Haven,Suncorp Insurance,Leo Australia,Sydney
Silver,Droga5 ANZ part of Accenture Song,Sydney,AUSTRALIA,Creativity In Media,Challenger Brand,Special Broadcasting Service,The Ad That Could Only Be Seen On SBS,Special Broadcasting Service,Droga5 ANZ part of Accenture SongA,Sydney
Silver,Ogilvy Australia,Australia,AUSTRALIA,Creativity In Media,Multi-Channel Media,TCCC,Meet me at the Coke Sign,TCCC,Ogilvy,Australia
Silver,FINCH,Sydney,AUSTRALIA,Production Post-Production,Direction Campaign,The New Zealand Herpes Foundation,Make New Zealand The Best Place in the World to Have Herpes Campaign - Lesson 1 What is Herpes Lesson 2 Is Herpes Common Lesson 3 Is Herpes Scary Lesson 4 How to Not Make Herpes Awkward Lesson 5 How to Fight Stigma,The New Zealand Herpes Foundation,Motion Sickness,Auckland
Silver,ATimePlace,Melbourne,AUSTRALIA,TV Cinema,Beverages - Alcoholic,Balter Brewing Company,Beers Do Come True,Balter Brewery,ATimePlace,Melbourne
Silver,Bear Meets Eagle on Fire,Sydney,AUSTRALIA,TV Cinema,Banking Finance Campaign,Bankwest,Best Friend Romance Cheese Award Board,Bankwest,Bear Meets Eagle On Fire,Sydney
Silver,Ogilvy Brasil,Sao Paulo,BRAZIL,Branded Content,Creative Use of Data,Hasbro Brasil,DungeonsDragons The Lost Episode,Hasbro Brasil,Ogilvy Brasil,Sao Paulo
Silver,Rethink,Toronto,CANADA,Ambient Activation,Foods,Kraft Heinz,Cant Unsee I,Kraft Heinz,Rethink,Toronto
Silver,No Fixed Address,Toronto,CANADA,Billboard,Best Use of Real Time Advertising,Greenfield Natural Meat Co,The Sizzle Board,Greenfield Natural Meat Co,No Fixed Address,Toronto
Silver,Klick Health,Toronto,CANADA,Branded Entertainment,Scripted Short Film,Second Nurture,18 Months,Second Nurture,Klick Health,Toronto
Silver,Rethink,Toronto,CANADA,Creative Strategy,Partnership Collaboration,Molson Coors,Paid Through Parents,Molson Coors Beverage Company,Rethink,Toronto
Silver,Klick Health,Toronto,CANADA,Design,Craft Motion Graphics - Animation,Second Nurture,18 Months,Second Nurture,Klick Health,Toronto
Silver,FCB Canada,Toronto,CANADA,Online Film,Public Service-Charity-NGO,SickKids Foundation,The Count,SickKids Foundation,FCB,Toronto
Silver,Klick Health,Toronto,CANADA,Online Film,Branded Content,Second Nurture,18 Months,Second Nurture,Klick Health,Toronto
Silver,Klick Health,Toronto,CANADA,Online Film,Public Service-Charity-NGO,Second Nurture,18 Months,Second Nurture,Klick Health,Toronto
Silver,Ogilvy Canada,Toronto,CANADA,Online Film,Zeitgeist,Dove,Most Likely To,Unilever,Ogilvy Canada,Toronto
Silver,FCB Canada,Toronto,CANADA,Production Post-Production,Direction,SickKids Foundation,The Count,SickKids Foundation,FCB,Toronto
Silver,Klick Health,Toronto,CANADA,Production Post-Production,Stop-Frame Animation,Second Nurture,18 Months,Second Nurture,Klick Health,Toronto
Silver,TBWA-Group China,Shanghai,CHINA,Design,Best Local Market,Yangzhou Municipal Bureau of Culture Radio TV and Tourism,The Yangzhou Qiao Bei Musical Suite,Yangzhou Municipal Bureau of Culture Radio TV and Tourism,TBWA-Group China,Shanghai
Silver,Ogilvy Shanghai,Shanghai,CHINA,Online Film,Health Pharma Campaign,Viatris - Make Love Last,The Bedroom The Hotel Room The Living Room,Viatris,Ogilvy Shanghai,Shanghai
Silver,DDB Colombia,Bogota,COLOMBIA,Creative Strategy,Original Thinking,Procolombia,Humanimal Tourism,Jorge Ivan Rueda,DDB Colombia,Bogota
Silver,Breakfast Helsinki,Helsinki,FINLAND,Production Post-Production,Performance-Casting,Love Anarchy a Helsinki International Film Festival,Pulp Gospel,Love Anarchy a Helsinki International Film Festival,,
Silver,BETC,Paris,FRANCE,Ambient Activation,Challenger Brand,Heetch,Choose Uber,Heetch,BETC,Paris
Silver,BETC,Paris,FRANCE,Audio Radio,Best Local Market,So Foot,Football Lover FM,So Foot,BETC,Paris
Silver,VML,Paris,FRANCE,Branded Entertainment,Reality-Unscripted-Alternative Programming,AXA,Group Therapy,AXA,VML,Paris
Silver,BETC,Paris,FRANCE,Creative Strategy,Breaking Sector Convention,Heetch,Choose Uber,Heetch,BETC,Paris
Silver,Publicis Conseil,Paris,FRANCE,Creative Strategy,Breaking Sector Convention,Renault,Long-term,Renault,Publicis Conseil,Paris
Silver,Publicis Conseil,Paris,FRANCE,Creative Strategy,Long-term Creative Strategy-Effectiveness,Renault,Long-term,Renault,Publicis Conseil,Paris
Silver,BETC,Paris,FRANCE,Creativity In Media,Automotive,Citroen,Bumpboards,Stellantis,BETC,Paris
Silver,ROSA Paris,Paris,FRANCE,Design,Craft Illustration,OUIGO,Muted 16 Games for Children Designed for Parents Peace of Mind,OUIGO,ROSA Paris,Paris
Silver,Publicis Conseil,Paris,FRANCE,Evolution,Product Innovation,AXA,Three Words,AXA,Publicis Conseil,Paris
Silver,Wanda Productions,Paris,FRANCE,Music Video,Cinematography,Sam Fender,People Watching,Sam Fender,,
Silver,Wanda Productions,Paris,FRANCE,Music Video,Direction,Sam Fender,People Watching,Sam Fender,,
Silver,Publicis Conseil,Paris,FRANCE,Production Post-Production,Cinematography,Renault,Argentina,Renault,Publicis Conseil,Paris
Silver,BETC,Paris,FRANCE,TV Cinema,Automotive,Citroen,The Alien,Citroen,BETC,Paris
Silver,BETC,Paris,FRANCE,TV Cinema,Humor,Citroen,The Alien,Citroen,BETC,Paris
Silver,Saatchi Saatchi Germany,DA14sseldorf,GERMANY,Ambient Activation,Direct Marketing - Consumer,Oreo,Oreo Square Cookie,Mondelez International,Saatchi Saatchi Germany,
Silver,Saatchi Saatchi Germany,DA14sseldorf,GERMANY,Ambient Activation,Gaming,Oreo,Oreo Square Cookie,Mondelez International,Saatchi Saatchi Germany,
Silver,SERVICEPLAN GERMANY,Munich,GERMANY,Ambient Activation,Fashion Accessories,Rainbow Wool,,SchAferei StA14cke,SERVICEPLAN GERMANY,Munich
Silver,SERVICEPLAN GERMANY,Munich,GERMANY,Audio Radio,Utilities Campaign,Techem,Ding Dong Campaign - Thong Mask Beard,Techem Energy Services,SERVICEPLAN GERMANY,Munich
Silver,SERVICEPLAN GERMANY,Munich,GERMANY,Creative Strategy,Retail,PENNY,Price Packs,PENNY,SERVICEPLAN GERMANY,Munich
Silver,HeimatTBWA-Berlin,Berlin,GERMANY,Design,Creativity on a Budget,Correctiv - Recherchen fA14r die Gesellschaft,Adopt A Fact,Correctiv - Recherchen fA14r die Gesellschaft,HeimatTBWA-Berlin,Berlin
Silver,Scholz Friends,Berlin,GERMANY,Design,Best Regional-National Market,Tiroler Festspiele Erl,Brand Design,Tiroler Festspiele Erl,Scholz Friends Berlin-Scholz Friends,Vienna
Silver,Scholz Friends,Berlin,GERMANY,Design,Poster Campaign,Berliner Philharmoniker,Stage Floor Great Hall Foyer Windows 1st Floor Chairbacks Chamber Music Hall Philharmonie Light 1 Foyer Mosaic Floor Foyer Facade Panel Seating Object Forecourt Ceiling Light Foyer,Berliner Philharmonie gGmbH,Scholz Friends,Berlin
Silver,SERVICEPLAN GERMANY,Munich,GERMANY,Design,Limited-Special Editions,Lufthansa,Allegris First Class x Sho Shibuya,Deutsche Lufthansa AG,SERVICEPLAN GERMANY,Munich
Silver,MRM Germany,Frankfurt,GERMANY,Evolution,Product Innovation,Life Donor Card,Life Donor Card,Mastercard,MRM GERMANY,Frankfurt
Silver,Ambassadors Berlin,Berlin,GERMANY,Music Sound,Original Music - Score,checkyourbreaststoday,Feel,checkyourbreaststoday,,
Silver,HeimatTBWA- Germany,Berlin,GERMANY,Music Sound,Sound Design,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin
Silver,HeimatTBWA- Germany,Berlin,GERMANY,Online Film,Retail,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin
Silver,SERVICEPLAN GERMANY,Munich,GERMANY,Package Design,Retailer Packaging,PENNY,Price Packs,PENNY,SERVICEPLAN GERMANY,Munich
Silver,Ogilvy Group Germany,Frankfurt,GERMANY,Poster,Craft Visual Design Campaign,German Rail - Connecting Europe,Netherlands Austria Denmark Spain,German Rail,Ogilvy Group Germany,Frankfurt
Silver,Scholz Friends,Berlin,GERMANY,Print,Craft Art Direction Campaign,Berliner Philharmoniker,Stage Floor Great Hall Foyer Windows 1st Floor Chairbacks Chamber Music Hall Philharmonie Light 1 Foyer Mosaic Floor Foyer Facade Panel Seating Object Forecourt Ceiling Light Foyer,Berliner Philharmonie gGmbH,Scholz Friends,Berlin
Silver,HeimatTBWA- Germany,Berlin,GERMANY,Production Post-Production,Cinematography,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin
Silver,HeimatTBWA- Germany,Berlin,GERMANY,Production Post-Production,Direction,HORNBACH Baumarkt,Obey Your Hands,HORNBACH Baumarkt AG,HeimatTBWA- Berlin,Berlin
Silver,HeimatTBWA- Germany,Berlin,GERMANY,Production Post-Production,Performance-Casting,HORNBACH Baumarkt,Obey Your Hands,HORNBACH Baumarkt AG,HeimatTBWA- Berlin,Berlin
Silver,HeimatTBWA- Germany,Berlin,GERMANY,TV Cinema,Retail,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin
Silver,Ogilvy Guatemala,Guatemala,GUATEMALA,Creativity In Media,Corporate Purpose-Social Responsibility,Shell,Stay Tuned Stay Awake,Shell,Ogilvy,Guatemala
Silver,Ogilvy Guatemala,Guatemala,GUATEMALA,Creativity In Media,Use of Audio Platforms,Shell,Stay Tuned Stay Awake,Shell,Ogilvy,Guatemala
Silver,NNNNNNN,Hong Kong,HONG KONG,Design,Displays Installations,HSBC Hong Kong,HSBC 160th Anniversary Rube Goldberg Machine,HSBC Hong Kong,NNNNNNN Hong Kong-Omnicom Media Group,Hong Kong
Silver,Ogilvy,Mumbai,INDIA,Audio Radio,Innovative Use of Audio Radio,Brooke Bond Taj Mahal Tea,Chai Bansuri - The Tea Flute,Brooke Bond Taj Mahal Tea,Ogilvy,Mumbai
Silver,Ogilvy,Bengaluru,INDIA,Creativity In Media,Corporate Purpose-Social Responsibility,Eye,Eye Test Menu,Titan Company Limited,Ogilvy Bengaluru-Ogilvy,Mumbai
Silver,Subhajit Mukherjee,Mumbai,INDIA,Music Sound,Sound Editing,Star Cement,Rise Like A Star - Lovelina Borgohain,Star Cement Ltd,VML India,Kolkata
Silver,Studio Eeksaurus Productions,Mumbai,INDIA,Production Post-Production,Stop-Frame Animation,Centre for Pastoralism,Desi Oon,Centre for Pastoralism,Studio Eeksaurus Productions,Mumbai
Silver,Droga5 Dublin Part of Accenture Song,Dublin,IRELAND,Audio Radio,Public Service-Charity-NGO Campaign,Samaritans,26 Minutes Young Hot Guys Podcast Seanchoiche Presenter Mikey Cullen Sprints Lead Singer Karla Chubb Off The Ball Live Premier League commentary 1,Samaritans Dublin,Droga5 Dublin Part of Accenture Song,Dublin
Silver,LePub,Milan,ITALY,Ambient Activation,Zeitgeist,Heineken,Pub Succession,Heineken,LePub Milan-Publicis Dublin,Dublin
Silver,LePub,Milan,ITALY,Branded Entertainment,Music Videos,Desperados,Guao Guao,Desperados,LePub,Milan
Silver,LePub,Milan,ITALY,Music Sound,Original Music with Lyrics,Desperados,Guao Guao,Desperados,LePub,Milan
Silver,LePub,Milan,ITALY,Online Film,Social Media Platforms,Toblerone,Tantrum Girl,Modelez,LePub,Milan
