Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,DEAR NEIGHBOR,BOSE,WUNDERMAN THOMPSON,Durable Consumer Goods including Automotive,Submitted,https://cdn.filespin.io/api/v1/storyboard/ce0be5c14e214349a73992b6c9b122b0/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GOOD THINGS COME TO THOSE WHO WAIT?,UNIONAIRE,WUNDERMAN THOMPSON,Durable Consumer Goods including Automotive,Submitted,https://cdn.filespin.io/api/v1/storyboard/036c58343d6942cdac8b2077f63a78de/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,THE OFFICIAL SUV OF ACTION,CHEVROLET,COMMONWEALTH//McCANN,Durable Consumer Goods including Automotive,Submitted,https://cdn.filespin.io/api/v1/storyboard/9202e2567fa5473d9b27d6666e28f53a/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,SPACE ISSUES,CHEVROLET EGYPT (GM/ MANSOUR),FP7 McCANN,Durable Consumer Goods including Automotive,Submitted,https://cdn.filespin.io/api/v1/storyboard/8c89800f6084421dac8740a5aa0d4edb/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,THE WORLDS MASTERPIECE,ROYAL COMMISION FOR ALULA,LEO BURNETT,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://cdn.filespin.io/api/v1/storyboard/741fc03fb1ae4e429fefc19ec44fbcfe/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,KAI SOKHNA | HOMO~SEA~PIANS,MISR ITALIA,ELEPHANT,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://cdn.filespin.io/api/v1/storyboard/97aa168c59084064b65bb187d1d6e46b/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,BEDROOM,HOME CENTRE,HOME CENTRE,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://cdn.filespin.io/api/v1/storyboard/af2a00c0ff804dd8bd8c4b3c5a419825/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,LIVING ROOM,HOME CENTRE,HOME CENTRE,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://cdn.filespin.io/api/v1/storyboard/2b0533ff03374b6f9cdb2394256ee039/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,DISCO,DELIVEROO,? AND US,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://cdn.filespin.io/api/v1/storyboard/4e0571839b934cfd9d6250c61b2e3ed0/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,SWING,DELIVEROO,? AND US,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://cdn.filespin.io/api/v1/storyboard/d61384746c2c4d34a6c74f01dd52448b/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,BREAKDANCE,DELIVEROO,? AND US,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://cdn.filespin.io/api/v1/storyboard/5a6ec94bd5dd4bf5940e11025d16d653/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GHOST PEPPER TWISTER,KFC,TBWA\RAAD,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://cdn.filespin.io/api/v1/storyboard/0a727a6ac4c649bf9547411840c6ae76/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GOOGLE AREF DIARIES | HOW TO MAKE HEALTHY RECIPES,GOOGLE,ELEPHANT,Media & Entertainment,Submitted,https://cdn.filespin.io/api/v1/storyboard/2925d0fd209640a9b1a5361c1400fe39/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GOOGLE AREF DIARIES | HOW TO GET RID OF MOSQUITOES,GOOGLE,ELEPHANT,Media & Entertainment,Submitted,https://cdn.filespin.io/api/v1/storyboard/b105a6d68a6b47cd8f2edc1760b728ed/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GOOGLE AREF DIARIES | HOW TO FIND A JOB IN YOUR FIELD,GOOGLE,ELEPHANT,Media & Entertainment,Submitted,https://cdn.filespin.io/api/v1/storyboard/8f94af8d43ec431c826f61d5e0b8ce79/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GOOGLE AREF DIARIES | HOW TO BAKE AN ORANGE CAKE,GOOGLE,ELEPHANT,Media & Entertainment,Submitted,https://cdn.filespin.io/api/v1/storyboard/81d2b0f42de44f2da6ac09880f01da26/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GOOGLE AREF DIARIES | HOW TO WORKOUT AT HOME,GOOGLE,ELEPHANT,Media & Entertainment,Submitted,https://cdn.filespin.io/api/v1/storyboard/c659704a55904158809ef01968ee1cf4/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GOOGLE AREF DIARIES | HOW TO TIE A TIE,GOOGLE,ELEPHANT,Media & Entertainment,Submitted,https://cdn.filespin.io/api/v1/storyboard/2ca2ec75578e4696b3a81a78060a8b65/storyboard_000008.jpg?resize=600,600
