Track,Title,Brand,Agency,Category,Award Level,Board image
SCREENS & EVENTS,SUPER,CANAL+,BETC,Use of Humour,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/4a56aa624fa8491aafb6d6d3d7165a58/storyboard_000008.jpg
SCREENS & EVENTS,RIDE THE FLEMISH CLASSICS EAT THE FLEMISH CLASSICS,CYCLING IN FLANDERS,DVLR DDB,Use of Humour,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/4138f79a0d1147f1a8f72ccbf489144d/storyboard_000008.jpg
SCREENS & EVENTS,GA MED - SOME EXPERIENCES ARE HARD TO RETELL,HJERTEFORENINGEN & TRYGFONDEN,&Co - NoA,Use of Humour,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/a87a7617a7494c1f8e7ef64a03807f0c/storyboard_000008.jpg
SCREENS & EVENTS,MISSED CALLS,TELENOR,NORD DDB,Corporate Purpose & Social Responsibility,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/78d19b0114694dfdb909c0abaa5bfecc/storyboard_000008.jpg
SCREENS & EVENTS,I HOPE THIS EMAIL FINDS YOU WELL,BEIERSDORF,PUBLICIS ONE TOUCH,Corporate Purpose & Social Responsibility,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/13187c91366743f8897b49b5aa1bc646/storyboard_000008.jpg
SCREENS & EVENTS,RENAULT - TIME-FIGHTERS,RENAULT,PUBLICIS CONSEIL,Market Disruption,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/c6679a6a871347b79c0870d88cb216e8/storyboard_000008.jpg
SCREENS & EVENTS,ITALIAN CUISINE,COOP,SOK MEDIA,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/6660580ec8734ae58688babdde6fe0d1/storyboard_000008.jpg
SCREENS & EVENTS,FRENCH CUISINE,COOP,SOK MEDIA,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/bbd1d93c48a747c8ac920f38e9533097/storyboard_000008.jpg
SCREENS & EVENTS,IMAGINE A WORLD WHERE DETERGENT DOESNT COME IN SINGLE USE PLASTIC CONTAINERS,PAFYLL,ANORAK,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/0581ae81ffdf486681d140b4fb9979db/storyboard_000008.jpg
SCREENS & EVENTS,BITTE LET S CELEBRATE WHAT BRINGS US TOGETHER,BITBURGER,SERVICEPLAN,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/418affa0adac40b081eb0154eb648c5c/storyboard_000008.jpg
SCREENS & EVENTS,WEDDING,DASH ITALIA,HOGARTH WORLDWIDE ITALY,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/70f3374f0ccb4176b16962e4c79a0b06/storyboard_000008.jpg
