Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image,Permalink
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,DIRTY LAUNDRY - NO SHAME NO BLAME,ABAAD RESOURCE CENTER FOR GENDER EQUALITY,LEO BURNETT,Viral Film,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/dbebbf51a61d4515b63f227794a6f623/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/dirty-laundry-no-shame-no-blame-abaad-resource-center-for-gender-equality-leo-burnett-2023-2/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,SOLE MUSIC,ANGHAMI,? AND US,Viral Film,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/dd62b6a995ad4832aee82608ae537272/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/sole-music-anghami-and-us-2023-2/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,NUTMEG ROYALE,PEPSI,BBDO ARGENTINA,Viral Film,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/9443d5c74fe8439f9daaca9a8f7603b6/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/nutmeg-royale-pepsi-bbdo-argentina-2023-2/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,SOLE MUSIC,ANGHAMI,? AND US,Branded Content & Entertainment Film,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/dd62b6a995ad4832aee82608ae537272/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/sole-music-anghami-and-us-2023-3/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,WHEN LIFE HAPPENS,THE CHOCOLATE BAR,BEATTIE DANE,Use of Film,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/cb6522635f0a4471a33f62f1fc6306ca/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/when-life-happens-the-chocolate-bar-beattie-dane-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,AS GOOD AS THE ORIGINAL,BURGER KING KUWAIT,M&C SAATCHI,Single Market Campaign,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/97edf15edc0b40b1b17de251957384f2/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/as-good-as-the-original-burger-king-kuwait-m-and-c-saatchi-2023-2/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE HOMECOMING,HOME CENTRE,LEO BURNETT,Social Behaviour & Cultural Insight,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/90152bc8d6a9426fb7e2e15ade788c53/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/the-homecoming-home-centre-leo-burnett-2023-3/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,NESCAFE AD WITHOUT A NESCAFE,NESCAFE,FP7 McCANN,Social Behaviour & Cultural Insight,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/1fa8911e5cc34e6aa4340916a55fe681/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/nescafe-ad-without-a-nescafe-nescafe-fp7-mccann-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,SOLE MUSIC,ANGHAMI,? AND US,Social Behaviour & Cultural Insight,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/dd62b6a995ad4832aee82608ae537272/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/sole-music-anghami-and-us-2023-4/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE RIGHT TO POWER 47 SECONDS,LOGI ENERGY,SAATCHI & SAATCHI ME,Corporate Purpose & Social Responsibility,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/5da75918a771489fa2d670ccc4407837/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/the-right-to-power-47-seconds-logi-energy-saatchi-and-saatchi-me-2023-3/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE STORM,MANDOLIN,WUNDERMAN THOMPSON,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/332f5c198270442490936a5034ebe4f3/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/the-storm-mandolin-wunderman-thompson-2023/
